@relation Train
@attribute Lemmatized string
@attribute subtask_c {IND,OTH,GRP}
@data
'expose demons constitution violence &amp threats govt instead winning polls name domestic terrorists &amp jail',GRP
'grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat control stupid child going change peoples case stupid give firearms free speech rights government fuck',IND
'republicans platform away healthcare environment away children away womens rights believe rule voter away social security limits control budget',OTH
'maybe talk double liberals conservatives somebody always victim',GRP
'#qanon #maga think nothing happening',IND
'kavanaugh sexual abuse charges back days cant proven &amp #confirmkavanaugh #maga #trump2020',GRP
'fuck',IND
'buying pussy bitches trying love',GRP
'thanks obama every crazy life support work trump means control',IND
'suffer fools seen enough shit last lives',OTH
'conservatives hypocrites',OTH
'suck',OTH
'well replace saying everyone needs chicken',IND
'believe woman person shit show experience werent true stand ford',IND
'communist democrat socialists humans',GRP
'piss population actually supported football shocked numbers took nose shocking',IND
'cause',IND
'people getting shot kicked conservatives #maga #walkaway #confirmkavanaugh',GRP
'yeah control policy company beyond trumps hard almost enough snowflakes claim dislike hard tell part',GRP
'right thing conservatives power democrats humans sick tired democrats freaking lost election please',GRP
'leader proud allow come right youre insane #liberals',OTH
'need change acting spoiled child throwing showing world sore loser national isnt great anyone',IND
'important issue mental health mental health control great liar proven &amp away thats right',IND
'quick killed thanks antifa',IND
'idiot comment disgrace',IND
'sucks',IND
'sides promised wall anyone believe anything promised',IND
'fair positive liberals',GRP
'disgusting hypocrite',IND
'well allow still protest stop group really hitler early time nazi party group known beat politicians people didnt agree',GRP
'time gone wrong book first book liberals trump americans dont known worst',GRP
'saying relate control police family time access weapons police department wrong correct dont deserve access weapons',OTH
'want control americans dont stand cops black americans cops enemies americans thats want kill blacks america thanks',GRP
'bitch complaining lobby lmaooo',IND
'shit today made want early whos responsible words',IND
'fuck bitch gone',IND
'#liberals',GRP
'funny human rights abortion lies',IND
'clearly racist anti citizen allow conservatives never seriously dont start fair',OTH
'kavanaugh confirmed sexual sitting supreme court conservatives nominated republicans democrats women scotus republicans perverted',GRP
'liberals shame mean',GRP
'coming worries failed shitty knows',IND
'popular side doesnt winning side facts private schools much better students public schools public school teachers dont deserve private school teachers',GRP
'fucking',OTH
'suppose think liberals attacked youre another hypocrite',IND
'great american patriots dregs society delusional blow biden disgrace america',IND
'joke another dirty tricks democrat george soros democrat party knows shame #maga',GRP
'actual report fucked',IND
'shit anyways',IND
'world country bullshit dont bullshit problems fuck fuck sensible control',GRP
'right lefties liberals proper funny grinning_squinting_face grinning_squinting_face grinning_squinting_face highest funny past grinning_squinting_face grinning_squinting_face grinning_squinting_face',GRP
'great control takes hand girl',IND
'never guess free time weird jump foot',IND
'back canada',IND
'adult enough means',GRP
'doesnt team stay thats successful outside threat',IND
'nike lost face bullshit',OTH
'google hell',OTH
'sadly worse good christians',IND
'working texas paid soros cruz beto dangerous person another sheeple',IND
'want kiss',IND
'beto wants open borders illegals come please control',GRP
'absolutely point liberal party left nothing hate side trump create world peace society liberals still resist reason hatred',GRP
'hope smarter maybe',IND
'100% agree trump surprised many liberals talk cute criminals',IND
'calls trump supporters dregs society coup people leave country search jobs #maga',IND
'destroying excuse beat time love',IND
'lies spread liberals known hell',GRP
'shes shes pushing control',IND
'listening kids shit heart',OTH
'delusional idiot traitor',IND
'mother left goes antifa rally',GRP
'head bout shit',IND
'complete utter waste time liberals',GRP
'blame trump corruption decades typical democratic',IND
'nigga added',IND
'right bastards literally everywhere left antifa supporters counter balance',GRP
'terrible person probably raped people human book nothing play dont personally',IND
'idiot fuck people',IND
'start tweeting pussy shit',IND
'weak really beat',IND
'bird',IND
'name dogs fucking clue',IND
'many taken place socialist media covering course coming make socialists heads maga swamp build wall',GRP
'least smart enough trump smart enough know cant hurt trump trump idiot',IND
'holy shit people please dead somewhere keep around watch',OTH
'poor liberals',IND
'tell body count refused woman fuck',IND
'really thinking hell last loudly_crying_face',GRP
'realize fool making weird obsession maybe research nonsense',IND
'liberals today different liberals liberals today gone left youre head think &amp libs trump authoritarian people want &amp killed',IND
'violence towards trump supporters antifa',GRP
'aint nobody bitter women know worth life somebody actually living becoming best look cute always',GRP
'talking actual shooting means control',GRP
'protection wish phone call share escape',IND
'need ladies spread smiling_face_with_hearteyes',IND
'really think works going tell wife going hell',IND
'still',OTH
'antifa democrats gonna november nail coffin trust funded',IND
'good bitch hood missed face_with_tears_of_joy crazy thing saying house used everyday',IND
'california lots worthless control laws already control work crazy people dont obey',IND
'bitch posted hope better soon',IND
'know never seen watch games takes shit level',IND
'likely forgot mental everyday woman serve longer said trump remember part problems solution maga',IND
'liberals trumps fault thinking_face',GRP
'democrat love great country watch liberal democratic party tries destroy everything love country #walkaway actually #maga #kag everyone United_States',IND
'shameful million kavanaugh control isnt',IND
'good democracy read democracy failed',OTH
'control need leftist liberal control guns dont kill people idiotic leftists #walkaway',OTH
'nose shit',IND
'living fucking nightmare',OTH
'tells attention',IND
'bring great point morons really look life movies control debate time seriously think never hurt want teachers idiots',GRP
'idiot likely worst deal history foreign policy poster child someone qualified',IND
'people worst kind criminal playing base hatred country insane rhetoric playing mind games cause anger helping cause liberals',OTH
'come street army #antifa even wear cute black masks americans democrat party protect good',GRP
'okay violent liberal antifa hoods beating strangers know nothing',IND
'liberals democrats something wrong',GRP
'liberals youre criminal',IND
'cant believe american flag antifa flag',OTH
'believe believe democrat idiotic things conservatives',IND
'dont know dont really care rich dude probably hates president country',IND
'teach grown theres serena',IND
'shooting common talking control',OTH
'please stop youre making easy mock left',IND
'team even know',IND
'using remove',IND
'wall wont keep terrorists away obama control killings criminals (and #walkaway',GRP
'republicans disgusting people',OTH
'antifa average americans news',GRP
'talking idiot liberals mental disorder book liberal mind political ideology liberals actually mental disorder read',IND
'comments negative chris promoting vote michael love rapist &amp moore &amp latest kill dems movie town hall womens rights &amp control kavanaugh vote instead',IND
'first time toward public votes people vote office years think',IND
'fuck queen things conversation help comment decisions swear',IND
'liberals crap everything',GRP
'attention anything interest meme',IND
'liberals playbook',GRP
'congress maga',IND
'never nigga skull skull',OTH
'glad dont know anyone bunch',GRP
'left party playing communist crimes',GRP
'trump fine people sides antifa nazis dont want dont nazis crazy nazis literally folks trying bomb shit soooo yeah youre right wing sorry thats case',IND
'antifa career killer',IND
'thats saying read tweet never said putting words mouth liberals really assholes cant civil discussion',GRP
'experience problem think suffering bastard disorder',IND
'jerry needs away already good acting fool fool',IND
'knew scared',IND
'needs removed position children abused covering',IND
'nope teaching give shit liberals think',GRP
'devils fully agree',GRP
'sexy smiling_face_with_hearteyes smiling_face_with_hearteyes winking_face winking_face',IND
'claim speak people stand rights drinking',GRP
'shocked alleged pervert #gunsense #maga',IND
'many women country stupidity liberals today',GRP
'think liked better conservatives rape claiming rape gets better time',GRP
'dirt millions',IND
'control guns idiot',IND
'fake national created conservatives bullshit',GRP
'need lobby youre screwed good america means nothing control',IND
'open think sitting waiting pick called back said wrong need pick open need head asses',GRP
'democrats &amp antifa thugs done &amp done',GRP
'chicago stop violence seems democrats claim stop show worst violence cities controlled democrats nations works make model successful control policies',OTH
'american liberals young power everyone racist rapist fascist keep everyone social dont teach keep government dont think dems keep black',GRP
'judge moore story #maga',IND
'100%',IND
'well people dregs society presidents supporters least didnt stage coup #maga',IND
'majority thinking &amp never seen many sore losers throwing almost years embarrassing #magaUnited_States',GRP
'destroy hard working small evil pretty face',IND
'said antifa black organization',GRP
'tell simply racist',IND
'standing didnt even know none stories democrats &amp liberals destroy america',GRP
'sure organization respect street enforcement protect serve citizens miss part',IND
'already strict control laws county cant blame',OTH
'nobody kill beat cheap become popular follow popular india best luck hope videos together make next video popular',GRP
'trying shit gotta decent least',IND
'proven lies',GRP
'fund entire school teachers teach curriculum youth sees',IND
'investigation antifa terrorist going',IND
'agree dumb heart attack looks',IND
'hillary social curriculum curriculum nothing shocked curriculum happy glad shes',IND
'educated crap cant read',IND
'shut useless',IND
'found theres control cant mass murder schools anyone done joke',GRP
'really going confirmed continue kill babies violence continue despite control',IND
'guess money stole balance slush fund #thursdaythoughts #drainthedeepstate #maga',GRP
'youre another twitter asshole',IND
'doesnt support stand ground teachers control believes rights zero chance',IND
'liberals problem lying',OTH
'another fucking nazi antifa names',GRP
'funny media people post porn twitter time',GRP
'pants antifa',OTH
'control fast furious allow allowed firearms sold criminal',GRP
'remember much making conservatives thinking people upset theyre needs teaching people made',GRP
'dont know antifa pretty dumb',IND
'youre fuck cant loudly_crying_face red_heart',IND
'dont never pants forever throwing peoples nose',IND
'#conservatives #republicans',GRP
'obama',IND
'think supporters hide support trump life hands #maga never america remember political beliefs still civil &amp',IND
'kiss complete disgrace senator',IND
'uses place escape shes makes jokes situation jail police officer threatening kill leave boring',IND
'think afraid pigs',OTH
'girl lied every time mouth shows still left',IND
'rates claim safe nations control mostly false',OTH
'asshole',IND
'even white',IND
'better worse brat antifa peoples head love look heads',IND
'flake perfect name',IND
'stole girls cant blame',IND
'sure anyone expecting platform',IND
'wasnt forward helping poor total hypocrite fraud stupid style',GRP
'whats point clearly ignorant sexual assault',IND
'comes mouth liar definitely catholic likes church',IND
'well cool girl dont shit scared little shit',IND
'tweets show demented liberals become zero credibility',GRP
'lazy come',IND
'',IND
'dont even wear shit move away',IND
'make antifa started violence first place',IND
'tell blue knows zero experience shit mueller help actual',IND
'false narrative sign white whistle #theresistance #resist #antifa',OTH
'best',IND
'doesnt want jail lying senate crime committed &amp activist trying confirmation professor believe antifa member soros',IND
'drunk person crime right leftists socialists antifa democrats',OTH
'dont care start info &amp leftist control',IND
'fuck youre actually',IND
'coward probably sabotage country silence shes former porn model',IND
'must cash something whoever comes first',IND
'million support youth activists working violence theyre michael help create business leaders support control',IND
'crap',IND
'disgusting liberals shame',GRP
'crazy making sure crazy liberal doesnt show',IND
'maybe kavanaugh country hearing afraid going court going hill',IND
'yeah sucks honestly plan coming back rather nice start another game',IND
'black',GRP
'fucking',IND
'twitter banning conservatives anyone speaks dems liberals closer elections',GRP
'evil',IND
'except dont want want public hands public service think everyone country stupid',GRP
'shit keep fuck',IND
'thats people chicago hell control works town',OTH
'good crook',IND
'well thats wins super media mouth piece',IND
'antifa terrorist organization',OTH
'doesnt remember house playing exact date nothing false accusations motives defend #antifa terrorists nothing',IND
'daddy says dont start face_with_tears_of_joy face_with_tears_of_joy',IND
'democrats care crap destroy conservatives',OTH
'england liberals everywhere destroying lives muslims family muslims going back think accident read',GRP
'many today wearing pussy antiamerican antifa pathetic waste life slap',IND
'disgusting people country lefties liberals upset forced wear imagine face_with_tears_of_joy worst mistake letting people appreciate',GRP
'liberals smart',OTH
'balance high shitty rats',GRP
'special kind #antifa correct tomorrow proper shitting',IND
'think best without doubt &amp trade deals &amp',OTH
'fuckass',IND
'resign done nothing check part swamp hold values resign',IND
'fake news liberal',OTH
'traitor',IND
'thats mention class even',IND
'seeing liberals',GRP
'sucks miss',OTH
'democrats order shut listening keeps going little mind soros sister married family',GRP
'line youre america back country look mirror whos year',IND
'figures',IND
'literally hour women stop complaining think true wrong well news buddy means shitty',IND
'still maga telling boys folks &amp turns round fuck free face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',GRP
'control argument control threat shot goes accuse people open carry scared fear shot hypocritical statement',IND
'eric holder prison',IND
'says social housing good talks hypocrisy failed lying politician money real building failure lies',IND
'violent #antifa werent democrat violence',GRP
'blame fact course',IND
'want murder charge stealing guns already shooting someone life prison best ends well whoever tries honestly think troll made stupid antifa members',GRP
'money kids',IND
'neither seat',IND
'argument people shouldnt everyone together terrorists muslims altright conservatives dumb specific groups denounce means general cant',GRP
'racial left calls black conservatives #walkaway many dont blind tool keep political',IND
'want prove actually',IND
'guys literally know shit',IND
'weak face_with_tears_of_joy face_with_tears_of_joy shit must really',IND
'blaming trump hurricane showing ignorance give maybe help',IND
'hope anti american support',OTH
'shit dont follow stating basic facts totally actual point stating fact youre phony',IND
'please stick issues resign house leadership constitution many',IND
'right though',IND
'finally terrible takes owners racist',GRP
'close season round huge ground know thats coming dont mind funny shit',IND
'stage farrakhan total hypocrite pathetic',IND
'dare tell antifa right fighting fighting stupid cause republicans',IND
'brought truth hate truth',GRP
'accusation enough live country innocent proven guilty',IND
'point nearly',IND
'think liberals women complaining wonder ford want experience',IND
'comments defending drug blatant abuse power completely liberals bias bias tell must rich area thanks guys needed good laugh face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',GRP
'lump agree 100%',IND
'convenient paid liar',IND
'kill potus handle violence',GRP
'shit',IND
'usual supposed smart feminist thinks made sense alone told dealing another person considered maybe toxic',IND
'never lets fuck',IND
'definitely drunk shit',IND
'mean cheating allegations sexual harassment assault cheating difference know facts scare liberals concerned sexual need names slush funds seat',GRP
'course group countries country list control positive lower rates even within countries',OTH
'liberals worst women speak truth especially political activists evidence instead',GRP
'lmao still butt hurt loser lost love polls 2020',IND
'holy actually real antifa really know stupid great shot hurt',GRP
'theresa isnt nice',IND
'conservatives care democracy opinions called racist rights anyone dont give shit',IND
'holy fuck sorry someone trust',IND
'everyone know time called violent liberals gone deep',GRP
'liberal',GRP
'seen look face makes laugh somehow believe silly',IND
'enemies whites',OTH
'democrats democrats dont stand women sexually assaulted democratic politicians youre hypocrite &amp need shut hell',GRP
'truly dumb shit',IND
'williams side world something probably always never high believe rules',IND
'opportunist wanted post liberals wasnt good enough conservatives promised person beliefs credible trusted',IND
'open whole bottom line women color never happen better soon womens tennis',OTH
'fuck face_with_tears_of_joy',IND
'whos sick racists',GRP
'cock',IND
'liar bring case state love kavanaughs',IND
'family cheating husband never loved boys made clear never laws show paid laugh checks',IND
'years sexually assaulted supreme court nominee remain anonymous dont answer questions basically smear campaign democrat dont want conservatives majority scotus',IND
'understand black lives matter fight demand control wade course forces throw save used medicare everything worries',GRP
'policies worst',IND
'know left going believe lies liberals rats destroy president trump going thumbs_up United_States',GRP
'born life wife london back baby wife london make face_with_tears_of_joy winking_face history',IND
'fucked future',GRP
'please dont make mistake #kavanaugh trump',IND
'hour white scum earth',GRP
'trump #maga',IND
'fucking',IND
'failure democrats #tcot #maga #rednationrising',IND
'wasnt given stay home money always tell people given shit hell',IND
'evil true enemy people cant believe people still seriously',IND
'must sexually active woman pushing young women',IND
'answer different opinion youre lose argument youre love youre week takes strong person sheep',GRP
'silly',OTH
'maybe beating woman apparently couple dollars makes piss someone',OTH
'basic white girl clearly didnt know personally awful happened dont respect instead disgusting blaming another innocent human something nothing',IND
'opinion isnt false youre isnt cant feelings doesnt narrative rights taking away better control hurts soul well dead child hurts mine',IND
'support right using antifa tactics words tactics domestic terrorist group',IND
'tweet another garbage tweet liberals nothing except confirmation liberals talking points &amp arent believed',GRP
'dont look keith bully investigation past abuse pick',OTH
'rule doesnt apply accused dems',GRP
'difference make death holding parents accountable part control legislation write demand congress deals violence continue &amp americans',OTH
'pope pure nothing fire crimes',IND
'ruined',IND
'wants successful tweeting stuff',IND
'swamp going jail soon #maga',IND
'people tried telling last year busy trump mayor cruz people peoples lives worth make trump look disgrace',IND
'much dislike antifa hope none stupid enough fall getting someone killed',IND
'explains idiots',IND
'system attack couldnt grow said used moron',IND
'unless skin coming back coming back',IND
'fake feel true feelings even lies says anything stupid standing clearly doesnt respect women stand',IND
'news republicans using power congress force private whatever says truth control members',OTH
'thought last wearing fucking',IND
'lack walking around sense liberals',IND
'biased everyone drop google',GRP
'call poor',IND
'maybe fucking knows kind home life child officer better sorry needs fired',IND
'need',IND
'simply right silly female nothing problem realize horrible perhaps someone told somehow fault liberals might wrote plain',OTH
'bono clearly racist',IND
'people crying control shooting already control want criminals supposed obey',GRP
'liberals live double look liar whore even evidence good bill democrat fucking insane',IND
'piece shit sorry going think',IND
'cant kinds wrong beat',IND
'black female democrats call party #tcot #maga #rednationrising',GRP
'aware hillary clinton said going weapons russia sold weapons complete idiot',IND
'time really starting hate time world open shut time enough shit time case actually time case',GRP
'came support student control activists burning well',GRP
'aint nigga back throw whole friend away',IND
'guys seriously dont mean everyone right good people dont shit personally want shit stop government apparently fucking stupid control teachers guns makes sense',OTH
'antifa high fascist organization members name groups obvious fascist others advantage rest fools',GRP
'another',IND
'liberals following facts liberal',IND
'news democrats backhand_index_pointing_down #maga United_States',GRP
'people bastards youre think plenty wont advantage change',IND
'dirty stole cruz campaign voters list gave trump',IND
'great state illegal immigrants liberals blue states looking work vote democrat figure insane',GRP
'doesnt awesome keep',IND
'crazy liberals',GRP
'page confirmed russia story passed gullible liberals push narrative elected presidents success office',GRP
'whats wrong dead #antifa dont understand thought good antifa',IND
'trump never free chicken world imagine around world little actual know completely dont happening',IND
'obvious hack',IND
'sure block useless tweets',IND
'good arrest arrest crazy leader well minions fall planned paying legal think level party disgusting',IND
'fake conservatives fake outrage budget',GRP
'knew dead rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing',IND
'thats real thing &amp told fact mother never loved &amp penis',OTH
'john careful liberals attack thinking facts arent side',GRP
'amazing pope afraid truth',OTH
