@relation Train
@attribute word_tokenize string
@attribute subtask_c {IND,OTH,GRP}
@data
'know never seen watch game take shit level',IND
'like forgot mental drop everyday woman serv longer said trump rememb part problem solut maga',IND
'liber trump fault thinking_fac',GRP
'democrat love great countri watch liber democrat parti tri destroy everyth love countri # walkaway actual # # # # maga # kag everyon united_st',IND
'shame # spend million kavanaugh control isnt',IND
'good democraci read democraci fail',OTH
'control need leftist liber control gun dont kill peopl idiot leftist # # # walkaway',OTH
'nose smell shit',IND
'live fuck nightmar #',OTH
'tell attent #',IND
'bring great point moron realli look life movi control debat time serious think never hurt want teacher idiot',GRP
'idiot hand billion like worst deal histori foreign polici poster child someon qualifi',IND
'peopl worst kind crimin play emot base hatr countri insan rhetor play mind game caus anger help caus liber catch',OTH
'come testifi safe street armi # antifa even wear cute black mask american democrat parti protect good',GRP
'okay violent liber antifa hood beat stranger know noth',IND
'liber democrat someth wrong',GRP
'liber your crimin',IND
'cant believ replac american flag antifa flag',OTH
'believ exist believ democrat creat “ republican ” idiot thing discredit conserv',IND
'dont know dont realli care rich dude probabl hate presid countri',IND
'teach grown there winner serena tantrum',IND
'shoot common talk control',OTH
'pleas stop your make easi mock left #',IND
'team even know',IND
'suggest use remov',IND
'# obama wall wont keep terrorist away obama control prevent kill crimin ( and terrorist ) # walkaway',GRP
'republican disgust peopl',OTH
'antifa averag american news',GRP
'talk idiot liber mental disord book liber mind caus polit expos ideolog motiv liber actual mental disord read',IND
'& comment neg chri promot vote michael love rapist & amp moor & amp latest kill dem movi town hall women right & amp control kavanaugh vote instead',IND
'first time express toward public vote peopl vote offic year think',IND
'fuck queen thing control convers help comment decis swear',IND
'liber crap everyth',GRP
'attent anyth interest meme jerk',IND
'liber playbook',GRP
'congress maga',IND
'never nigga skull skull',OTH
'glad dont know anyon bunch',GRP
'left parti play communist crime',GRP
'trump fine peopl side antifa punch nazi dont want punch dont nazi crazi nazi liter murder folk tri bomb shit soooo yeah your right wing sorri that case',IND
'embrac antifa career killer',IND
'that say read tweet never said put word mouth liber realli asshol cant civil discuss',GRP
'experi problem think suffer bastard disord',IND
'jerri need away alreadi good act fool fool',IND
'knew scare',IND
'need remov posit children abus cover',IND
'nope teach give shit liber think',GRP
'agent devil fulli agre',GRP
'sexi smiling_face_with_heartey smiling_face_with_heartey winking_fac winking_fac',IND
'mock claim speak peopl stand norm right label drink',GRP
'shock addict alleg pervert # # # gunsens # # maga #',IND
'mani women countri stupid liber today',GRP
'think like better conserv pretend rape claim rape get better time',GRP
'blow dirt million',IND
'control gun idiot',IND
'fake nation emerg creat conserv bullshit',GRP
'need lobbi bribe your screw good america mean noth control',IND
'open think sit wait pick call back said receiv wrong need pick open need head ass',GRP
'denounc democrat & amp antifa thug done & amp done',GRP
'chicago stop violenc seem democrat claim stop show worst violenc citi control democrat nation work make model success control polici',OTH
'american liber young power everyon racist rapist fascist keep everyon addict social program dont teach keep addict govern dont think dem keep black hispan',GRP
'judg moor stori # maga',IND
'100 %',IND
'well peopl dreg societi presid support least didnt stage coup # qanon # # # maga',IND
'# major think # & amp # lie # never seen mani sore loser throw almost year embarrass # magaunited_st',GRP
'destroy hard work small busi evil pretti face fall',IND
'said antifa black organ',GRP
'tell simpli racist',IND
'% stand # didnt even know none wit stori democrat & amp liber destroy america #',GRP
'sure organ respect street enforc protect serv citizen miss part',IND
'alreadi strict control law counti cant blame',OTH
'nobodi kill beat cheap becom popular follow popular india best luck hope video togeth make next video popular',GRP
'tri shit got ta decent least',IND
'proven lie',GRP
'fund entir school teacher salari teach curriculum indoctrin gener youth see tank',IND
'investig antifa terrorist go',IND
'agre dumb heart attack look',IND
'hillari social studi curriculum curriculum noth shock curriculum happi glad she',IND
'educ crap cant read',IND
'shut useless',IND
'found there control cant mass murder school anyon done joke',GRP
'realli go confirm continu kill babi violenc continu despit control',IND
'guess 100 $ money stole # balanc slush fund # # thursdaythought # # # # # drainthedeepst # maga',GRP
'your anoth twitter asshol # mute',IND
'doesnt support stand ground arm teacher control believ right zero chanc',IND
'liber problem lie',OTH
'anoth fuck nazi antifa name name',GRP
'funni label media peopl post porn twitter time',GRP
'pant face antifa',OTH
'control measur fast furiou direct violat allow straw allow firearm sold crimin organ',GRP
'rememb much make conserv think puppet peopl upset theyr need teach peopl puppet made',GRP
'dont know antifa pretti dumb',IND
'your fuck cant loudly_crying_fac red_heart',IND
'dont never pant forev throw peopl nose',IND
'# conserv # republican # traitor # america',GRP
'obama',IND
'think support hide support trump life hand # maga never america rememb polit belief still civil & amp upset',IND
'kiss complet disgrac senat # # # #',IND
'use place escap she troubl make joke situat jail assault polic offic threaten kill leav bore',IND
'think afraid pig',OTH
'girl lie everi time open mouth show foolish still left',IND
'rate claim safe nation control mostli fals',OTH
'asshol',IND
'even white',IND
'better wors brat antifa bash peopl head love shot look head',IND
'flake perfect name weirdo',IND
'stole girl cant blame',IND
'sure anyon expect balanc platform owner satanist',IND
'wasnt step forward help poor total hypocrit fraud stupid affect style',GRP
'what point clearli ignor sexual assault',IND
'come mouth liar deceiv definit cathol like church',IND
'well cool girl dont shit pop scare littl shit pop',IND
'tweet show dement liber becom zero credibl',GRP
'lazi wait defend come',IND
'',IND
'dont even wear shit move away',IND
'make antifa march start violenc first place',IND
'tell blue know zero experi shit mueller help actual',IND
'fals flag narr sign white nationalist whistl # theresist # resist # # antifa #',OTH
'best',IND
'doesnt want jail lie senat crime commit & amp activist tri stall confirm professor believ antifa member soro',IND
'drunk person crime right leftist socialist antifa democrat',OTH
'evid dont care studi start parrot info & amp leftist control',IND
'fuck your actual',IND
'coward probabl continu sabotag countri silenc she former porn model',IND
'must cash someth whoever come first “ conserv ”',IND
'million support youth activist work violenc theyr michael help creat busi leader support control measur',IND
'crap',IND
'disgust liber shame',GRP
'crazi detail make sure crazi liber doesnt show',IND
'mayb kavanaugh spare countri hear # afraid go court go major piss hill',IND
'yeah suck honestli plan come back rather opportun nice start anoth game approv',IND
'black',GRP
'fuck',IND
'twitter ban conserv anyon speak dem liber closer elect',GRP
'evil',IND
'except ( peopl ) dont want want public hand public servic think everyon countri stupid',GRP
'shit keep fuck',IND
'that peopl chicago hell control work town',OTH
'good crook',IND
'well that win super media mouth piec',IND
'antifa terrorist organ',OTH
'doesnt rememb cloth cloth hous song play exact date noth weapon fals accus motiv defend # antifa terrorist noth',IND
'daddi say dont start face_with_tears_of_joy face_with_tears_of_joy',IND
'democrat care crap destroy conserv',OTH
'england liber everywher destroy live muslim famili muslim go back think accid read',GRP
'mani window today wear pussi antiamerican antifa pathet wast life slap',IND
'disgust peopl countri lefti liber upset forc wear imagin face_with_tears_of_joy worst mistak let peopl appreci',GRP
'liber smart',OTH
'balanc danger high shitti rat',GRP
'special kind # antifa learn correct tomorrow proper shit',IND
'# # tori # brexit # think # best without doubt # leav # & amp trade deal & amp #',OTH
'fuckass ',IND
'resign done noth check part swamp hold valu resign',IND
'fake news liber',OTH
'traitor',IND
'that immatur mention class even',IND
'see liber #',GRP
'suck miss',OTH
'democrat order shut listen keep go littl mind soro sister marri famili',GRP
'line your america back countri look mirror who year',IND
'figur',IND
'liter hour rant women stop complain think true wrong well news buddi mean shitti',IND
'still maga tell boy folk drink & amp turn round fuck free face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',GRP
'assum control argument control threat shot goe accus peopl open carri scare fear shot hypocrit statement',IND
'eric holder prison',IND
'say social hous good breath talk hypocrisi fail lie politician line parti pocket money real build failur lie',IND
'violent # # # # # antifa werent democrat violenc',GRP
'blame fact hispan cours',IND
'want murder charg steal gun alreadi shoot someon life prison best end well whoever tri honestli think troll made stupid antifa member',GRP
'money kid',IND
'neither author seat',IND
'origin argument peopl shouldnt everyon togeth terrorist muslim altright conserv dumb requir specif group denounc mean gener cant',GRP
'racial left call black conserv # bigotri # hypocrisi # walkaway mani dont blind tool establish keep resist outsid polit elit millionair',IND
'want prove actual retard',IND
'guy liter italian know shit',IND
'weak face_with_tears_of_joy face_with_tears_of_joy shit must realli pain',IND
'blame trump hurrican show ignor give salari mayb help',IND
'hope anti american support',OTH
'shit dont follow state basic fact total actual point state fact your phoni',IND
'pleas stick issu resign hous leadership constitut mani bribe #',IND
'right though',IND
'final terribl take owner racist',GRP
'“ ” close season round ground huge ground know that come dont mind funni shit',IND
'stage farrakhan total hypocrit pathet',IND
'dare tell antifa right fight fight stupid caus republican',IND
'brought truth hate truth',GRP
'accus enough live countri innoc proven guilti',IND
'point nearli',IND
'think liber women complain wonder ford want experi',IND
'comment defend drug ford blatant abus power complet liber bia bia tell must rich area poll thank guy need good laugh face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',GRP
'lump agre 100 %',IND
'time conveni paid liar',IND
'kill kind potu handl violenc #',GRP
'shit ( )',IND
'usual suppos smart feminist think made sens alon told deal anoth person consid mayb toxic',IND
'never let fuck',IND
'definit drunk shit',IND
'mean cheat alleg sexual harass assault cheat differ know fact scare liber concern sexual assault need name slush fund reveal seat',GRP
'cours select group ( ) european countri countri list control posit lower homicid rate even within countri',OTH
'liber worst women speak truth especi polit activist judg alleg evid instead gender',GRP
'lmao still butt hurt loser lost love poll 2020',IND
'holi actual real antifa realli know stupid great shot hurt',GRP
'theresa isnt nice',IND
'conserv care democraci opinion call racist right anyon dont give shit',IND
'holi fuck sorri someon violat trust',IND
'everyon know time call violent liber gone deep',GRP
'liber',GRP
'seen chair look face make laugh somehow believ purpos silli',IND
'( ( ( conserv ) ) ) enemi white',OTH
'democrat smear democrat dont stand women sexual assault democrat politician your hypocrit & amp need shut hell',GRP
'truli dumb shit',IND
'william display side world someth probabl alway never high believ rule',IND
'opportunist want post liber decid wasnt good enough cross conserv promis person belief credibl trust',IND
'open treat whole bottom line treat differ women color never happen better soon women tenni',OTH
'fuck face_with_tears_of_joy',IND
'who sick racist',GRP
'cock sucker',IND
'liar bring case state love bankrupt kavanaugh attorney suit',IND
'famili consist cheat husband never love boy made clear never law show affect paid laugh cash check',IND
'year sexual assault suprem court nomine remain anonym dont answer question basic smear campaign democrat dont want conserv major scotu',IND
'understand black live matter fight demand control wade cours forc throw save use medicar cover everyth worri fear',GRP
'polici worst',IND
'know left go believ lie liber rat destroy presid trump go thumbs_up united_st',GRP
'born life wife london back babi wife paper london make face_with_tears_of_joy winking_fac histori',IND
'adult know fuck futur plan',GRP
'pleas dont make mistak # kavanaugh trump #',IND
'“ comedian ” hour white scum earth',GRP
'impeach trump # maga',IND
'fuck',IND
'failur democrat # tcot # maga # rednationris',IND
'wasnt given stay home money alway tell peopl opportun given shit hell',IND
'evil true enemi peopl cant believ peopl still serious',IND
'must sexual activ woman push young women abort',IND
'answer differ opinion your lose argument your love your week take strong person sheep',GRP
'silli',OTH
'mayb brutal beat woman appar spend coupl hundr dollar make piss someon',OTH
'basic white girl clearli didnt know person aw happen dont respect instead disgust blame anoth innoc human someth noth',IND
'opinion isnt fals your isnt cant feel doesnt narr right take away better control hurt soul well dead child hurt mine',IND
'support right use antifa tactic word tactic domest terrorist group',IND
'tweet anoth garbag tweet liber contribut noth except confirm liber talk point & amp arent believ',GRP
'dont look keith bulli investig past abus pick',OTH
'rule doesnt appli accus dem',GRP
