@relation Train
@attribute Porter string
@attribute subtask_c {IND,OTH,GRP}
@data
'grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat control stupid child going change peoples case stupid give firearms free speech rights government fuck',IND
'republicans platform away healthcare environment away children away womens rights believe rule voter away social security control budget',OTH
'maybe talk double liberals conservatives somebody always victim',GRP
'#qanon #maga think nothing happen',IND
'kavanaugh sexual abuse charges back days cant proven &amp #confirmkavanaugh #maga #trump2020',GRP
'fuck',IND
'buying pussy bitches trying lov',GRP
'thanks obama every crazy life support work trump means control',IND
'suffer fools seen enough shit last',OTH
'conservatives hypocrit',OTH
'suck',OTH
'well replace saying everyone needs chicken',IND
'believe woman person shit show experience werent true stand ford',IND
'communist democrat socialists human',GRP
'piss population actually supported football shocked numbers took nose',IND
'cause',IND
'people getting shot kicked conservatives #maga #walkaway #confirmkavanaugh',GRP
'yeah control policy company beyond trumps hard almost enough snowflakes claim dislike hard tell part',GRP
'right thing conservatives power democrats humans sick tired democrats freaking lost election please reason',GRP
'leader proud allow come right youre insane #liberals',OTH
'need change acting spoiled child throwing showing world sore loser national isnt great anyone view',IND
'important issue mental health mental health control great liar proven &amp away thats right',IND
'quick killed thanks antifa',IND
'idiot comment disgrace',IND
'sucks',IND
'sides promised wall anyone believe anything promised',IND
'fair positive liberals',GRP
'disgusting hypocrit',IND
'well allow still protest stop group really hitler early time nazi party group known beat politicians people didnt agree',GRP
'time gone wrong book first book liberals trump americans dont known worst',GRP
'saying control police family time limit access weapons police department wrong correct dont deserve access weapon',OTH
'want control americans dont stand cops black americans cops enemies americans thats want kill blacks america thank',GRP
'bitch complaining lobby lmaooo',IND
'shit today made want early whos responsible word',IND
'fuck bitch gone',IND
'#liberals',GRP
'funny human rights abortion lies',IND
'clearly racist anti citizen allow conservatives never seriously dont start fair',OTH
'kavanaugh confirmed sexual sitting supreme court conservatives republicans democrats women scotus republicans perverted',GRP
'liberals shame mean',GRP
'coming worries failed shitty knows',IND
'popular side doesnt winning side facts private schools much better students public schools public school teachers dont deserve private school teach',GRP
'fucking',OTH
'suppose think liberals attacked youre another hypocrit',IND
'great american patriots dregs society delusional blow biden disgrace america',IND
'joke another dirty tricks democrat george soros democrat party knows shame #maga',GRP
'actual report fuck',IND
'shit anyway',IND
'world country bullshit dont bullshit problems fuck fuck sensible control',GRP
'right lefties liberals proper funny grinning_squinting_face grinning_squinting_face grinning_squinting_face highest funny past grinning_squinting_face grinning_squinting_face grinning_squinting_fac',GRP
'great control takes hand girl',IND
'never guess free time weird jump foot',IND
'back canada freak',IND
'adult enough means',GRP
'doesnt team stay thats successful outside threat',IND
'nike lost face bullshit',OTH
'google hel',OTH
'sadly worse good christian',IND
'working texas paid soros cruz beto dangerous person another',IND
'want kiss',IND
'beto wants open borders illegals come please control',GRP
'absolutely point liberal party left nothing hate side trump create world society liberals still resist reason',GRP
'hope',IND
'100% agree trump surprised many liberals talk cute criminals',IND
'calls trump supporters dregs society coup people leave country search jobs #maga',IND
'destroying excuse beat time love',IND
'lies spread liberals known hel',GRP
'shes shes pushing control',IND
'listening kids shit heart',OTH
'delusional idiot traitor',IND
'mother left goes antifa',GRP
'head bout shit',IND
'complete utter waste time liber',GRP
'blame trump corruption decades typical democrat',IND
'nigga added',IND
'right bastards literally everywhere left antifa supporters counter bal',GRP
'terrible person probably raped people human book nothing play dont person',IND
'idiot fuck peopl',IND
'start tweeting pussy shit',IND
'weak really beat',IND
'bird',IND
'name dogs fucking',IND
'many taken place socialist media covering course coming make socialists heads maga swamp build wal',GRP
'least smart enough trump smart enough know cant hurt trump trump idiot',IND
'holy shit people please dead somewhere keep around watch',OTH
'poor liber',IND
'tell body count refused woman fuck',IND
'dumbass really thinking hell last loudly_crying_fac',GRP
'realize fool making weird maybe research',IND
'liberals today different liberals liberals today gone left youre head think &amp libs trump authoritarian people want &amp kil',IND
'violence towards trump supporters antifa',GRP
'aint nobody bitter women know worth life somebody actually living becoming best look cute',GRP
'talking actual shooting means control',GRP
'protection wish phone call share escape',IND
'need spread',IND
'really think works going tell wife going hel',IND
'still',OTH
'antifa democrats gonna november nail coffin trust funded',IND
'good bitch hood missed face_with_tears_of_joy crazy thing saying house used everyday',IND
'california lots worthless control laws already control work crazy people dont obey',IND
'bitch posted hope better soon',IND
'know never seen watch games takes shit level',IND
'likely forgot mental everyday woman serve longer said trump remember part problems solution maga',IND
'liberals trumps fault thinking_fac',GRP
'democrat love great country watch liberal democratic party tries destroy everything love country #walkaway actually #maga #kag everyone united_st',IND
'shameful million kavanaugh control isnt',IND
'good democracy read democracy fail',OTH
'control need leftist liberal control guns dont kill people idiotic leftists #walkaway',OTH
'nose shit',IND
'living fucking nightmare',OTH
'tells attention',IND
'bring great point morons really look life movies control debate time seriously think never hurt want teachers idiot',GRP
'idiot likely worst deal history foreign policy poster child someone',IND
'people worst kind criminal playing base hatred country insane playing mind games cause anger helping cause liberals catch',OTH
'come street army #antifa even wear cute black masks americans democrat party protect good',GRP
'okay violent liberal antifa hoods beating strangers know noth',IND
'liberals democrats something wrong',GRP
'liberals youre crimin',IND
'cant believe american flag antifa flag',OTH
'believe believe democrat idiotic things conserv',IND
'dont know dont really care rich dude probably hates president countri',IND
'teach grown theres serena',IND
'shooting common talking control',OTH
'please stop youre making easy mock left',IND
'team even know',IND
'using remov',IND
'wall wont keep terrorists away obama control killings criminals (and #walkaway',GRP
'republicans disgusting peopl',OTH
'antifa average americans news',GRP
'talking idiot liberals mental disorder book liberal mind political ideology liberals actually mental disorder read',IND
'comments negative chris promoting vote michael love rapist &amp moore &amp latest kill dems movie town hall womens rights &amp control kavanaugh vote instead',IND
'first time toward public votes people vote office years think',IND
'fuck queen things conversation help comment swear',IND
'liberals crap everyth',GRP
'attention anything interest meme jerk',IND
'liberals playbook',GRP
'congress maga',IND
'never nigga skull skul',OTH
'glad dont know anyone bunch',GRP
'left party playing communist',GRP
'trump fine people sides antifa nazis dont want dont nazis crazy nazis literally folks trying bomb shit soooo yeah youre right wing sorry thats',IND
'antifa career kil',IND
'thats saying read tweet never said putting words mouth liberals really assholes cant civil discuss',GRP
'experience problem think suffering bastard',IND
'jerry needs away already good acting fool fool',IND
'knew',IND
'needs removed position children abused',IND
'nope teaching give shit liberals think',GRP
'devils fully',GRP
'sexy smiling_face_with_hearteyes smiling_face_with_hearteyes winking_face winking_face',IND
'claim speak people stand rights drinking',GRP
'shocked alleged pervert #gunsense #maga',IND
'many women country stupidity liberals today',GRP
'think liked better conservatives rape claiming rape gets better tim',GRP
'dirt million',IND
'control guns idiot',IND
'fake national conservatives bullshit',GRP
'need lobby youre screwed good america means nothing control',IND
'open think sitting waiting pick called back said wrong need pick matt open need head',GRP
'democrats &amp antifa thugs done &amp',GRP
'chicago stop violence seems democrats claim stop show worst violence cities controlled democrats nations works make model successful control',OTH
'american liberals young power everyone racist rapist fascist keep everyone social dont teach keep government dont think dems keep black',GRP
'judge moore story #maga',IND
'100%',IND
'well people dregs society presidents supporters least didnt stage coup #maga',IND
'majority thinking &amp never seen many sore losers throwing almost years embarrassing',GRP
'destroy hard working small evil pretty face',IND
'said antifa black organ',GRP
'tell simply racist',IND
'standing didnt even know none stories democrats &amp liberals destroy america',GRP
'sure organization respect street enforcement protect serve citizens miss part',IND
'already strict control laws county cant blame',OTH
'nobody kill beat cheap become popular follow popular india best luck hope videos together make next video popular',GRP
'trying shit gotta decent least',IND
'proven li',GRP
'fund entire school teachers teach curriculum youth',IND
'investigation antifa terrorist go',IND
'agree dumb heart attack looks',IND
'hillary social curriculum curriculum nothing shocked curriculum happy glad shes',IND
'educated crap cant read',IND
'shut useless',IND
'found theres control cant mass murder schools anyone done jok',GRP
'really going confirmed continue kill babies violence continue despite control',IND
'guess money stole slush fund #thursdaythoughts #drainthedeepstate #maga',GRP
'youre another twitter asshole',IND
'doesnt support stand ground teachers control believes rights zero',IND
'liberals problem li',OTH
'another fucking nazi antifa names',GRP
'funny media people post porn twitter time',GRP
'pants antifa',OTH
'control fast furious allow allowed firearms sold criminal organ',GRP
'remember much making conservatives thinking people upset theyre needs teaching people',GRP
'dont know antifa pretty dumb',IND
'youre fuck cant loudly_crying_face red_heart',IND
'dont never pants forever throwing peoples',IND
'#conservatives #republicans',GRP
'obama',IND
'think supporters hide support trump life hands #maga never america remember political beliefs still civil &amp upset',IND
'kiss complete disgrace senator',IND
'uses place escape shes makes jokes situation jail police threatening kill leave boring',IND
'think afraid pigs',OTH
'girl lied every time mouth shows still left',IND
'rates claim safe nations control mostly',OTH
'asshol',IND
'even white',IND
'better worse brat antifa peoples head love look head',IND
'flake perfect name',IND
'stole girls cant',IND
'sure anyone platform',IND
'wasnt forward helping poor total hypocrite fraud stupid',GRP
'whats point clearly ignorant sexual assault',IND
'comes mouth liar definitely catholic likes church',IND
'well cool girl dont shit scared little shit',IND
'tweets show demented liberals become zero',GRP
'lazy com',IND
'',IND
'dont even wear shit move away',IND
'make antifa started violence first plac',IND
'tell blue knows zero experience shit mueller help actual',IND
'false narrative sign white #resist #antifa',OTH
'best',IND
'doesnt want jail lying senate crime committed &amp activist trying confirmation professor believe antifa member',IND
'drunk person crime right leftists socialists antifa democrat',OTH
'dont care start info &amp leftist control',IND
'fuck youre actually',IND
'coward probably sabotage country silence shes former porn model',IND
'must cash something whoever comes first',IND
'million support youth activists working violence theyre michael help create business leaders support control',IND
'crap',IND
'disgusting liberals sham',GRP
'crazy making sure crazy liberal doesnt show',IND
'maybe kavanaugh country hearing afraid going court going',IND
'yeah sucks honestly plan coming back rather nice start another game',IND
'black',GRP
'fuck',IND
'twitter banning conservatives anyone speaks dems liberals closer elect',GRP
'evil',IND
'except dont want want public hands public service think everyone country stupid',GRP
'shit keep fuck',IND
'thats people chicago hell control works town',OTH
'good crook',IND
'well thats wins super media mouth piece',IND
'antifa terrorist organ',OTH
'doesnt remember house playing exact date nothing false accusations motives defend #antifa terrorists noth',IND
'daddy says dont start face_with_tears_of_joy face_with_tears_of_joy',IND
'democrats care crap destroy conserv',OTH
'england liberals everywhere destroying lives muslims family muslims going back think accident read',GRP
'many today wearing pussy antiamerican antifa pathetic waste life slap',IND
'disgusting people country lefties liberals upset forced wear imagine face_with_tears_of_joy worst mistake letting people',GRP
'liberals smart',OTH
'high shitty rats',GRP
'special kind #antifa correct tomorrow proper shitting',IND
'think best without doubt &amp trade deals &amp',OTH
'fuckass',IND
'resign done nothing check part swamp hold values resign',IND
'fake news liber',OTH
'traitor',IND
'thats class even',IND
'seeing liberals',GRP
'sucks miss',OTH
'democrats order shut listening keeps going little mind soros sister married',GRP
'line youre america back country look mirror whos year',IND
'figures',IND
'literally hour women stop complaining think true wrong well news means',IND
'still maga telling boys folks &amp turns round fuck free face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',GRP
'control argument control threat shot goes accuse people open carry scared fear shot hypocritical',IND
'eric holder prison',IND
'says social housing good breath talks hypocrisy failed lying politician money real building failure li',IND
'violent #antifa werent democrat viol',GRP
'blame fact',IND
'want murder charge guns already shooting someone life prison best ends well whoever tries honestly think troll made stupid antifa members',GRP
'money kid',IND
'neither seat',IND
'argument people shouldnt everyone together terrorists muslims altright conservatives dumb specific groups denounce means general cant',GRP
'racial left calls black conservatives #walkaway many dont blind tool keep political',IND
'want prove actually',IND
'guys literally know shit',IND
'weak face_with_tears_of_joy face_with_tears_of_joy shit must really pain',IND
'blaming trump hurricane showing ignorance give maybe help',IND
'hope anti american support',OTH
'shit dont follow stating basic facts totally actual point stating fact youre',IND
'please stick issues resign house leadership constitution many',IND
'right though',IND
'finally terrible takes racist',GRP
'close season round huge ground know thats coming dont mind funny shit',IND
'stage farrakhan total hypocrite pathet',IND
'dare tell antifa right fighting fighting stupid cause republican',IND
'brought truth hate truth',GRP
'accusation enough live country innocent proven guilti',IND
'point',IND
'think liberals women complaining wonder ford want',IND
'comments defending drug blatant abuse power completely liberals bias bias tell must rich area thanks guys good laugh face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',GRP
'lump agree 100%',IND
'convenient paid liar',IND
'kill potus handle violence',GRP
'shit',IND
'usual supposed smart feminist thinks made sense alone told dealing another person considered maybe',IND
'never lets fuck',IND
'definitely drunk shit',IND
'mean allegations sexual harassment assault difference know facts scare liberals concerned sexual need names slush funds seat',GRP
'course group countries country list control positive lower rates even within countri',OTH
'liberals worst women speak truth especially political activists evidence instead',GRP
'lmao still butt hurt loser lost love polls 2020',IND
'holy actually real antifa really know stupid great shot hurt',GRP
'theresa isnt nic',IND
'conservatives care democracy opinions called racist rights anyone dont give shit',IND
'holy fuck sorry someone trust',IND
'everyone know time called violent liberals gone deep',GRP
'liber',GRP
'seen look face makes laugh somehow believe silli',IND
'enemies whit',OTH
'democrats democrats dont stand women sexually assaulted democratic politicians youre hypocrite &amp need shut hel',GRP
'truly dumb shit',IND
'williams side world something probably always never high believe',IND
'opportunist wanted post liberals wasnt good enough conservatives promised person beliefs credible trust',IND
'open whole bottom line women color never happen better soon womens tennis',OTH
'fuck face_with_tears_of_joy',IND
'whos sick racist',GRP
'cock suck',IND
'liar bring case state love kavanaughs',IND
'family husband never loved boys made clear never laws show paid laugh check',IND
'years sexually assaulted supreme court nominee remain anonymous dont answer questions basically smear campaign democrat dont want conservatives majority',IND
'understand black lives matter fight demand control wade course forces throw save used medicare everything worries fear',GRP
'policies worst',IND
'know left going believe lies liberals rats destroy president trump going thumbs_up united_st',GRP
'born life wife london back baby wife london make face_with_tears_of_joy winking_face histori',IND
'fucked future plan',GRP
'please dont make mistake #kavanaugh trump',IND
'hour white scum earth',GRP
'trump #maga',IND
'fucking',IND
'failure democrats #tcot #maga #rednationris',IND
'wasnt given stay home money always tell people given shit hel',IND
'evil true enemy people cant believe people still',IND
'must sexually active woman pushing young women',IND
'answer different opinion youre lose argument youre love youre week takes strong person sheep',GRP
'silli',OTH
'maybe beating woman apparently couple dollars makes piss',OTH
'basic white girl clearly didnt know personally awful happened dont respect instead disgusting blaming another innocent human something noth',IND
'opinion isnt false youre isnt cant feelings doesnt narrative rights taking away better control soul well dead child',IND
'support right using antifa tactics words tactics domestic terrorist group',IND
'tweet another garbage tweet liberals nothing except confirmation liberals talking points &amp arent believ',GRP
'dont look keith bully investigation past abuse pick',OTH
'rule doesnt apply accused',GRP
'difference make death holding parents accountable part control legislation write demand congress deals violence continue &amp americans risk',OTH
'pope pure nothing fire',IND
'ruined',IND
'wants successful tweeting stuff',IND
'swamp going jail soon #maga',IND
'people tried telling last year busy trump mayor cruz people peoples lives worth make trump look disgrac',IND
'much dislike antifa hope none stupid enough fall getting someone kil',IND
'explains idiots',IND
'system attack couldnt grow said used moron',IND
'unless skin coming back coming back',IND
'fake feel true feelings even lies says anything stupid standing clearly doesnt respect women stand',IND
'news republicans using power congress force private whatever says truth control',OTH
'thought last wearing fucking',IND
'lack walking around sense liber',IND
'biased everyone drop google',GRP
'call poor loss',IND
'maybe fucking knows kind home life child better sorry needs fir',IND
'ne',IND
'simply right silly female nothing problem realize horrible perhaps someone told somehow fault liberals might wrote plain',OTH
'bono clearly racist',IND
'people crying control shooting already control want criminals supposed obey',GRP
'liberals live double look liar whore even evidence good bill democrat fucking insan',IND
'piece shit sorry going think',IND
'cant kinds wrong beat',IND
'black female democrats call party #tcot #maga #rednationris',GRP
'aware hillary clinton said going weapons russia sold weapons complete idiot',IND
'time really starting hate time world open shut time enough shit time case actually time',GRP
'came support student control activists burning well',GRP
'aint nigga back throw whole friend away',IND
'guys seriously dont mean everyone right good people dont shit personally want shit stop government apparently fucking stupid control teachers guns makes sens',OTH
'antifa high fascist organization members name groups obvious fascist others advantage rest fool',GRP
'another',IND
'liberals following facts liberal',IND
'news democrats backhand_index_pointing_down #maga united_st',GRP
'people bastards youre think plenty wont advantage change',IND
'dirty stole cruz campaign voters list gave trump',IND
'great state illegal immigrants liberals blue states looking work vote democrat figure insan',GRP
'doesnt awesome keep',IND
'crazy liber',GRP
'page confirmed russia story passed liberals push narrative elected presidents success offic',GRP
'whats wrong dead #antifa dont understand thought good antifa',IND
'trump never free chicken danger world imagine around world little actual know completely dont happen',IND
'obvious hack',IND
'sure block useless tweet',IND
'good arrest arrest crazy leader well minions fall planned paying legal think level party disgust',IND
'fake conservatives fake outrage budget',GRP
'knew dead rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laugh',IND
'thats real thing &amp told fact mother never loved &amp penis',OTH
'john careful liberals attack thinking facts arent',GRP
'amazing pope afraid truth',OTH
'people absolutely insane liberals attacking white years getting worse pushing create another civil damn stupid',GRP
'another political hack news media listen interview looking moment instead work every turn kil',IND
'hate speech hear last years liberals stop h',IND
'prime example cant anymore liberals government dont want know constitution americans hate need keep',GRP
'face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy fool',IND
'sure hell either traitor liber',GRP
'please dont start concerned wants something planned idea movie scary felt something wanted know couldnt remember head',IND
'thats took correct hospital usual record claim many incompetent single record',GRP
