@relation Train
@attribute SnowballStemmer123 string
@attribute subtask_a {NOT,OFF}
@data
'tory today demanding moved back #cdnpoli',NOT
'seems getting things don',NOT
'added video maga david',NOT
'make allegation days guilty proven innocent liberals ment',OFF
'straight different thank biden wonder outcome name antifa hil',NOT
'game sucks bal',OFF
'real gorg',NOT
'absolutely nail coffin',OFF
'hope gets twitter tell amazing red_heart',NOT
'control tried proven failure people dont vote democrat refuse admit reality control doesnt work',NOT
'liberals states make policy rest america clue california biggest population mean values clue',NOT
'doesnt fund antifa',NOT
'dumbass',OFF
'#levistrauss wanting control many wonder heck want freedoms taken away selective freedom',OFF
'point time dont think pres trump gives sh*t neith',OFF
'conservatives polls vot',NOT
'family country apology taking criminal activities white house pockets father unfit making republic shame family justice',OFF
'poll year found percent black americans said legal immigrants brought year #maga #tcot',NOT
'doubt become national socialist american workers party gone acting #antifa',NOT
'cut',OFF
'chelsea crazy moth',OFF
'time #conservatives sent back australia',NOT
'2015 promised vote back think brexit gone allowed vote referendum',NOT
'metoo movement must extension antifa complete joke movement wasnt selective biden court girls camera',NOT
'awesome thank give humanity hop',NOT
'goober',NOT
'another',NOT
'forgot child',NOT
'#dems wants believe doesnt majority liberals leaders #obama real losers #maga #trump',OFF
'fucking said',NOT
'supposedly smart people didnt think moment audience people voted trump scared hearing speak',NOT
'surprised takes sick woman make type accusations kind find left liberals praying really weak members collins flake pull back support',NOT
'california control direct result white people scared black panthers using right bear arms problem control',OFF
'brazil citizens voted government strict control factor government still referendum everyday murdered effective method self',NOT
'claim without truth sins forgive sins john',NOT
'millions permit holding people legally concealed firearms didnt hurt anyone want stronger control idiots face_with_raised_eyebrow wonderful media hype incidents fits agenda',OFF
'hurt control freak',OFF
'every hysterical tweet',NOT
'always shows wonder best',NOT
'bullshit regulations good keeps conservatives land',OFF
'owner',OFF
'life #maga',OFF
'fuck',OFF
'confirm left wing activist liar whos story changes hard evidence #christineblaseyford innocent proven guilty #confirmkavanaugh #maga #republican',OFF
'reagan signed first control bill governor',NOT
'really need obvi',NOT
'years conservatives rape liber',NOT
'assuming going answer #liberal policy plan #wakeupamerica americas future vote republican surrender america morons #maga',OFF
'seriously needs mental health treatment firearms longer danger others waiting control advocates list school shootings buys',NOT
'leftists showing vil',OFF
'drunk crazi',OFF
'fine patriots thank #maga united_states grinning_face two_hearts united_states',NOT
'please shut ontario seeing conservatives stand helping loose never going anywhere completely canadian harper oops mean common mistake much',NOT
'alone sexually assaulted fellow student never reported didnt think believed something happened made realize wasnt victim felt made',NOT
'liber',NOT
'another terrorist attack report',NOT
'dont know',NOT
'money hadnt made smart',OFF
'makes laugh much',NOT
'folded_hands face_with_tears_of_joy',NOT
'always thought ford level headed guess note ford climate change happens every year',NOT
'yeah need made bullshit protestors antifa time epic',OFF
'unfortunately youre right keep real assault weapon',NOT
'real fire fire fir',NOT
'thank everyone making possible amazing beautiful member army appreciate everything make lives bett',NOT
'everything needed still taking small wine wouldnt',NOT
'dont move liberals seem make shit large cities somewhere already shit hole dont work',OFF
'',NOT
'tried went nowhere 100% control don',NOT
'killed many rifle time close hour police room actual shooting making control going people killed need smart',NOT
'individual sense belong winning team constant strong sense side side well regardless think theyre win',NOT
'know dont know talking dont tweet',NOT
'another free zones dont work brought liberal likely supports stricter control',NOT
'shouldnt pussy grabbing wearing handling food #maga',OFF
'plan environment even conservatives able understand able live planet make money',NOT
'happens tell white liberals dont woke money mouth simple fact life breaks brain',NOT
'antifa doesnt beat change mind know lost cause change fascists mind scare hiding stop spread hateful ideology forcing views',OFF
'soros root everything anything anti american money hollywood islam antifa illeg',NOT
'conservatives misogyny always responsible trump',OFF
'truly idiotic thing seen',OFF
'experienced life americans book attention warning america',NOT
'work want control population australian control effect',OFF
'poor babi',NOT
'antifa democrats',NOT
'liberals ruin everyth',OFF
'dont forget telling black liberal audience conservatives want back',NOT
'reputation destroyed read shes part antifa',NOT
'thats happens liberal hold good place start control liberals getting gun',OFF
'look happy maga',OFF
'trump racial tactic start think',NOT
'introducing sweet sweet baby king always sooo nice never attack',NOT
'gone bottom first tweet good',NOT
'exactly record basically saying president #gop fine issu',NOT
'clothes taxpayers funded armed protection control kamala',NOT
'',OFF
'plenty evidence guilty hill accused hearings arent bench times diff journalist dont call white antifa pick',NOT
'dont understand despite proof economy lied liberals entire life believing told liberal media made bill clinton look good trump',NOT
'oath must testify lifetime appointment please right time &amp allow hatch already made mind lying allowed question kind questions invite lawsuit',NOT
'yall best',NOT
'joke alright racist phony right along racist phony thinks follow second account block speak truth care less followers party care',OFF
'inde',NOT
'little concerned followers slowly become sort right wing antifa excuse horrible english native didnt much sorry sucks grinning_face_with_sweat',NOT
'antifa literally',NOT
'smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes kissing_face kissing_face kissing_face kissing_face',NOT
'woman happi',NOT
'noticed conservatives twitt',NOT
'forgotten moment citizens rights citizens dont believe shit goes head',OFF
'thats plenty women make shit tons money looking good',NOT
'watching show discovered humans thought trump getting elected proof enough #maga',NOT
'hope watch liberals always enjoy',NOT
'looked work history listed board leading services comes medicare local hel',OFF
'look mirror',NOT
'sure purple_heart',NOT
'send party promised help families maybe remind',NOT
'families border fact picture children liberals using show evil trump actually taken obama presid',NOT
'antifa peopl',NOT
'peoples vote june 2016 people rejected worship stand majority youre people &amp 2017 &amp supporting soros undermining democracy instead',NOT
'cause bitches playing loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face aint give gift noth',OFF
'free bird return muslim',NOT
'speaks phone text angry phone telling type brother able tell even yelling',NOT
'snow',NOT
'whos victim remains seen liberals turned kavanaughs hearings circus first minute start',NOT
'coming threatened kick dont bal',OFF
'youre shocked hear liberals want power federal level',NOT
'best smiling_face_with_heartey',NOT
'liberals cant without li',NOT
'fast furious hold',NOT
'getting scared ug',OFF
'shows progressive stand watch right left know right start youve never seen show check youtube red_heart united_states #maga',NOT
'supreme court',NOT
'hope',NOT
'',NOT
'bitch',OFF
'&amp &amp &amp &amp poverty &amp climate change &amp global &amp &amp bullying &amp body &amp police brutality &amp feminism &amp control &amp marches &amp protest',OFF
'cant prove either conservatives surely love idea bashing cant help think theyre former continue bashing boost',NOT
'republican picture sorry young republicans young conservatives born year',NOT
'liberals cant meme sense humor knowledge',NOT
'stun',NOT
'bitch right getting',OFF
'focus proud boys know youre real journalist kelly focus ones violence #antifa want story focus journalists constantly ignoring antifas attacks peopl',NOT
'hahaha going mak',OFF
'called educating liber',NOT
'#maga #trump2020 #tcot #ccot #americafirst #patriots #brettkavanaugh bill clinton make pattern behavior clear piece piece',OFF
'#maga people growth means literally nothing higher income white individuals billions goes companies government jobs create labour pays less living wage lmao',OFF
'energy people scream shout youre #kavanaugh hear',NOT
'watch hold interview shit lmao nigga',OFF
'bitch built beat w',OFF
'trash',NOT
'pathet',OFF
'thinker think religion aggressive thought deeply think grinning_face grinning_face grinning_face grinning_fac',NOT
'shouldve played saint instead london saint ok_hand',NOT
'thank goodness aggressive lov',NOT
'empty broke',NOT
'angel much lov',NOT
'asking arrest liberals months offens',NOT
'left',NOT
'must talking hateful conserv',OFF
'thats correct #maga',OFF
'show single case antifa actually murdered someone right murdered someone charlottesville hypocrisy works way',NOT
'thats exactly sur',NOT
'white people thank jesus republicans &amp liberals christians many thank jesus &amp many former emmys thank jesus daily country &amp ability turn',NOT
'skip realize saying become professional kind shitting sports many skip year',NOT
'leftist wrong liberal colleges students come corrupt woman determined destroy good judge wants liberals court',OFF
'feeling touch first smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_heartey',NOT
'great mark great candace great owens together team sent liberals whole block liberal voters heads explode pants great team',OFF
'speed',OFF
'people across parties condemn action look bill brian even conservatives think horrible decis',NOT
'wasnt scare tactics really meant said trump easily pull good maga republicans easily steal enough votes bring fresh breath politics think',OFF
'liberal support liberal spent million liberals elected office',OFF
'notice everyone tweet index_pointing_up index_pointing_up might think referring face_with_tears_of_joy face_with_tears_of_joy everyone',NOT
'vicious bitter access decent healthcare think criminals free reveals pretty mind',OFF
'fuck game watch',OFF
'grown loudly_crying_face loudly_crying_fac',NOT
'&amp threat',NOT
'didnt kavanaugh need terms guilty people ones need terms clue theyre worried going make terrible theyre trying manage concern',NOT
'dont perpetuate going talk must puerto ricans difficult',NOT
'anonymous message #antifa #qanon #thegreatawakening #resist',NOT
'antifa place societi',NOT
'votes home west texas inspir',NOT
'liberals',OFF
'grape',NOT
'hello somebody need danger watching',NOT
'never show much intellig',NOT
'kept kept coming back stupid answers finally gave dont think policies stupid pleas',OFF
'anything fucked head',OFF
'sure think',NOT
'looks #qanon #maga #greatawakening crocodile',NOT
'heres back fast furious proof looking control government fake sandy hook isnt drug somewhat similar',NOT
'need know empty',OFF
'dear sorry well sending prayers red_heart smiling_face_with_smiling_eyes',NOT
'sister sweetest person alive passed woman saint even song written moms saint written children cours',NOT
'liberals mentally unst',OFF
'search home racist drug test murder victim',OFF
'line know conservatives think',NOT
'dude trolling rock beaming_face_with_smiling_eyes govt st',NOT
'shes said always praying even cant anything sure heart broken well ev',NOT
'active threat shot driving need control idea threat exists excuse carry scari',NOT
'life',NOT
'hurricane donations found puerto rico park',NOT
'followed #maga #patriots look forward following back thank &amp wonderful united_states folded_hands two_heart',NOT
'suicide rate america similar countries strict jumping common method',NOT
'joining antifa',NOT
'apparently durbin',NOT
'canada regulated firearms last century laws probably contributed canada many',NOT
'heard making',OFF
'anita hill clarence thomas hope confirmation process result #maga smiling_face_with_smiling_eyes thumbs_up_mediumlight_skin_tone clapping_hands_mediumlight_skin_tone folded_hands_mediumlight_skin_tone united_states puerto_rico',NOT
'dont',NOT
'time teacher career parent tell he/she praying always consider clapping_hands_light_skin_tone clapping_hands_light_skin_tone',NOT
'welcome',NOT
'funny watching liberals sudden transparent problems truth issues people trouble',NOT
'brown',NOT
'ladies always make know mean',NOT
'#thursdaythoughts fuck liberals',OFF
'scalp cust',NOT
'proven control laws intended disarm abiding citizens criminal care law',OFF
'nothing abusive done anyone including women people country putting horrible going easy says agree',NOT
'thinks give fuck',OFF
'fake vote wants',OFF
'antifa &amp respect',NOT
'different women american bomb',OFF
'banning guns still legal control keep watch firearm',NOT
'dont anything trump conservatives refuse trade busi',NOT
'signing cut',NOT
'russian agent disgrace creep going prison trump sold america russians time time years crimes scumbag',OFF
'tact',NOT
'ridiculous bullshit',OFF
'country conservatives',NOT
'shouldnt surprised pigs worked neonazis antifa protestors local coverage shit didnt cover',OFF
'control anyone',NOT
'reading first',NOT
'beginning believe liberals none people believe rule evidence crime',NOT
'americans lazy vote liberal many liberals vote throw vote away party losers next quest',OFF
'cant wait maga across chest picture muel',NOT
'sure doesnt call private security bull though funny liberals love polic',OFF
'wonder many children',OFF
'amazing admire much always able raise &amp hatred show',NOT
'england views control stopped',OFF
'antifa party &amp sudden expect believe care anyone besides',OFF
'antifa caught guard getting confronted last person',NOT
'ouch',OFF
'wonder calling fired making fac',OFF
'awesome kavanaugh didnt control dads hand sorry killed future judges fault happened white people cities silli',OFF
'john spirit pedo heres photo rather situation #maga #qanon #drainthedeepstate #draintheswamp',OFF
'happen public knows youve #drainthedeepstate #maga #trump2020 #kag',NOT
'love pisses liber',OFF
'still pretty awesom',NOT
'correct',OFF
'turned speech sounded liberals becoming another nasty party personal attacks individu',OFF
'crap and/or #hollywood #politics #police #muslims used weapon missed anything maybe #mbga #conserv',NOT
'thinks talk expect everyone support treat speci',NOT
'another negative democrat refuses disappear',OFF
'elected please explain still promoting ideas already rejected weve months nothing appears moving blind leading blind',OFF
'getting paris climate voters wanted obama committed towards keep paying third world countries going broke help places illegals eith',NOT
'gonna asshol',NOT
'cant killed hope lady witch known witch',OFF
'mike country living country constitutional republic democraci',NOT
'election trump dick dick leftists prove russian puppet trump dick conservatives trump',OFF
'problem many control',NOT
'interesting demoncraps arent even enough create originally republicans liberals always liberals scum earth prove daily li',OFF
'believe president fak',NOT
'article going relevant #maga',NOT
'need',NOT
'face_with_tears_of_joy face_with_tears_of_joy',NOT
'dont think clue leadership liberals year children told intellectual goat please stop tweeting making look quite fool',NOT
'control leftist rather child responsible parent front door didnt involved grab couldnt shes lucky didnt find first',NOT
'someone please show front center tonight unless today #maga',NOT
'want much literally tell obey',OFF
'sorry hear loss friend',NOT
'famous people funny black race bait',NOT
'dead well good must suck never mind cant even think move ahead alone twitter handle even face_with_rolling_eyes face_with_rolling_ey',OFF
'funny conservatives didnt theres sure didnt mind liberal wheres',NOT
'decide youre paid shill around youll us',OFF
'anyone want vote democrat wants open borders control',NOT
'full blown temper tantrum manafort',NOT
'trump sick toxic mean spirit',OFF
'voters know right side issue control rights answer help whether wins',OFF
'ordinary criminal #maga #maga2020',OFF
'didnt watch dont care #maga',NOT
'full',OFF
'wait conservatives crying safe sudden liberal elite colleg',NOT
'hell boycott much',OFF
'respect constitution need office #votedemsout #votered2018 #therainmakers #qanon #maga #wwg1wga',NOT
'antiantifa bal',OFF
'believe correct wise red_heart red_heart',NOT
'going hardcore bitch',OFF
'hope right',NOT
'',NOT
'dont stand #remain surrender',NOT
'used monkey heart played wife hel',OFF
'yeah think saying life long battle regardless josh keep demons everi',NOT
'words speaking behalf cant people make feel people bett',NOT
'think didnt called trying make bully grinning_squinting_fac',OFF
'cute',NOT
'disgusting disgusting support breaking union united_kingdom',OFF
'almost years something changed control went backing control americas powerful lobby group',NOT
'hopefully voters ended well midterm',OFF
'telling public sector theres money tree disaster means crisis sector',NOT
'absolutely right',NOT
'thought said numbers someone li',NOT
'pitiful reason economy office president trump phone regulations legacy knows democrats message smiling_face_with_sunglasses vote republican',NOT
'never color face_with_raised_eyebrow public safety concern control assault rifles',NOT
'rich fans follow first hardly honor',NOT
'fund raising dinner stories ripping union pieces personal gain light moment many #brexit endeavor',NOT
'antifa types might even show sort',NOT
'2018 charts overall fuck cardi ways catch',OFF
'think missed conference anti muslim know disagree control seem',OFF
'look racist white liberals freaking said white privileg',OFF
'flick thru evening feed still boss',OFF
'fact much',NOT
'really liberals everything',OFF
'lies lies antifa democrat',NOT
'cant lump small liberal conservatives right',NOT
'never thought left actually admitting want shut free speech unless least admitting facist create facist',OFF
'lmao knows face_with_tears_of_joy thats trying hard expose shits cant never relate anyway',OFF
'bullshit',OFF
'looking free ride american taxpayer liberals looking votes need bring people bottom support',NOT
'bono gone dark side',NOT
'feel pretty fucked started fin',OFF
'whats command',NOT
'definitely better previous administration still believe sane people vote head many closet republicans #voteredtosaveamerica ignore #kag2018 #maga united_st',NOT
'excellent idea intelligent',NOT
'aw',OFF
'dont know anything although believe democrats fund always think dems main terror group days antifa',OFF
'liberal leona decision cross floor &amp join conservatives seem betrayal supporters voted legal imagine decided cross floor &amp become liberal thinking_face face_with_tears_of_joy',NOT
'modern conservatives arent bright wanted slavery principles modern conservative principles principles test tim',NOT
'absolutely useless everyone knows except media',OFF
'make sure elected senate america lets #maga togeth',NOT
'anyone care say',OFF
'chance hell start taking losing whatever identify today #maga tired #winning november #redwaverising2018 cant stop',OFF
'youre asking liberals reason logic look people suffering collective almost hour educated elite crazy soldiers likely beyond help',NOT
'guess knows much watching great night brett',NOT
'hope serves liberals feel must hope theres must morals',NOT
'hope voters wont forget made lack leadership left voted leave rest',NOT
'hopefully catch',OFF
'think higher portion',NOT
'thats conservatives afraid weed think make love black peopl',NOT
'proud',NOT
'couldnt care less eith',NOT
'stoned hell stoned crack',OFF
'remember #tcot #ccot #maga #kag #qanon #walkaway #wwg1wga #kavanaugh',NOT
'#onpoli #conservatives doesnt mean great power comes great responsibility judicial youre democraci',OFF
'common sense control looney leftists firearms safeti',NOT
'hadnt really thought really worship though lots people arguments examples modern liberals saying race instance dont recognize much different though',NOT
'thank please give mcconnell kick butt conserv',OFF
'tweet account dont control previous time call control mine michael bloomberg',NOT
'exactly ful',NOT
'idiot cant believe',NOT
'another disgrac',NOT
'call',OFF
'want make clear dont think control answer people looking violence concerned find people focus mental health bullying schools want address root problem',NOT
'shes active lately album year',NOT
'makes realize good words crowd keeps',NOT
'shes liber',OFF
'didnt fired espn',OFF
'dont understand racist',NOT
'real problem',NOT
'students live shooter fear killed school already best send schools might action control hypocrit',OFF
'poor liberals hop',OFF
'common sense follow',OFF
'several allegations chasing somebody accuses thing shit never ends',OFF
'sorry much article read',NOT
'youre absolutely insane think hearing supreme court judge place father talk control doesnt state senator hand',NOT
'attention publicizing antifa target list trump supporters names high profile names many random everyday trump supporters twitter suspended account check list',NOT
'even devil make every single rape children pope refuse condemn didnt remove leadership rapist brought',OFF
'tweets maybe focused sending miss many leave open liberal fascist movement antifa',NOT
'didnt tweet twitter shit',OFF
'hate',NOT
'hypocrisy #nevertrump movement exposed hate trump vile policies anti abortion scotus pick liberals claim allies mind',NOT
'“ye',NOT
'less ready',NOT
'dong',NOT
'screwed trump owns scotus exact upon enemies midterm',OFF
'cares gold possibly illegal record',NOT
'mean didnt antifa',NOT
'haul harms druggi',OFF
'believing women',NOT
'hahaha cut',NOT
'knows youll deny fair exchange based recent past conservatives speaks poor r',NOT
'really think going',NOT
'need unity grow seem band together much better #maga patriots please united_st',NOT
'#trump #maga jack credit openly culture within company hostile conservatives question go',NOT
'victim lets hear blood test',NOT
'cheating get',NOT
'look lovely #maga united_states',NOT
'sorry right flushed_face winking_face kaepernick sales bump next #boycottnfl #boycottnike #maga',NOT
'hasnt reform getting trump free particular famous people exchange attention policies wors',NOT
'fucking tim',NOT
'100% correct',NOT
'anyone write anything suppose tomorrow says prophet human race needs follow tell someone useless moron stop giving attention brother',OFF
'guess victory_hand liberals called white power',NOT
'hahaha telling stfu hurt rolling_on_the_floor_laugh',NOT
'seenoevil_monkey half isnt african culture know rest african didnt feel strong representation anyone able share thoughts that',NOT
'definitely living outside cant book amazon weeks back ordered first print',NOT
'cool blind idiot concept already real thing religion thousands years peopl make fucking retard cr',OFF
'face_with_tears_of_joy maga dear friend says followers face_with_tears_of_joy #fact',NOT
'holiday parents place pole parents call support',NOT
'deliri',OFF
'possible gave california rating control',NOT
'love using platform something positive hundred_points',NOT
'dumb bitch rude mexico',OFF
'alert candace owens attacked antifa',OFF
'breibartcomic sect',NOT
'beat another kne',NOT
'dont think',NOT
'another dumbass democrat thing president lazy another bullshit story',OFF
'american justice liberals guilty proven innoc',NOT
'thank secretary hard work true patriot bless america #maga',NOT
'liberals leftists rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing brian',NOT
'posts world stops moment appreci',OFF
'democrats desperate threatening collins anything delay confirmation line desperate &amp quite aware go',OFF
'flake flake wants someone &amp heard stand senate rac',NOT
'omfg sooo glad life best love talk',NOT
'moves forward damn facts long keep narrative dangerous line scale line bunch liberal idiots conservatives justify actions liber',OFF
'black people need white liberals keep turning violence based things offens',NOT
'voting certainly critical &amp share agree #republicans #conservatives #maga',NOT
'poor baby entire network trusted people still watching brainwashed liberals demonrat',OFF
'hell country hate &amp weaponized govt destroy &amp quit telling kids hate best county disgrac',NOT
'going rest #deepstate',NOT
'parkland call stricter control rally',NOT
'shes right',NOT
'best part read exchange thread year later dude comes back antifa caused nazis bullshit lmao best mean',NOT
'done younger moron island state police class weeks listening drinking jok',NOT
'clearly defensive shit',OFF
'think meant write michael',NOT
'antifa condition',NOT
'suggesting policy rates benefit sanctions graph suggest true 2017 sanctions rate lower previous sanctions good',NOT
'gonna',OFF
'example dont think liberal issue issue borders citizenship liberals assume rights arguments apply across borders apply within borders view',NOT
'looks antifa presid',NOT
'girl votes done know native told vote kavanaugh scotus n',NOT
'send antifa super soldiers sort tommy',NOT
'everyday working women vote republican keep trump policies vote cost money folks #maga #win',NOT
'book slander nothing clown tool',OFF
'many country must address sensible control enough vote blue garbage street',OFF
'appears must think',OFF
'mentally unst',OFF
'character clinton cartoon mayb',OFF
'total control works fine well mexico',NOT
'good friends stars dont always know star lif',NOT
'arent around understand denying porn',OFF
'many willing testify oath actually knew kavanaugh many testify said kavanaugh said know',NOT
'fema contacted senator liar girl tell truth',OFF
'thought antifa actually fascists shows actual fascists room',OFF
'think',NOT
'absurd left violent feminists communists form antifa attack peaceful power years wonder occur guys doubt moral',OFF
'still pushing sexual feinstein hero list women long raped worse trumps fault',NOT
'anyone surprised #maga #qanon',OFF
'reports tweeted earlier',NOT
'amazing',NOT
'wisconsin duck duck',OFF
'followed maga',NOT
'please honest acknowledge trans stuff mental disorder normal human behavior',NOT
'good liberals allow rapist continue serving federal district court victim continues suffer said',OFF
'pretending something phony lies wont chang',OFF
'racial isnt racist liberals something actual definition racism thinking race better another race doesnt meet definit',NOT
'beer owns conserv',NOT
'give break #maga #draintheswamp',NOT
'really member labour party said conservatives interested think labour conservative dont liberal opposite conservative liberal right wing',NOT
'seriously face_with_tears_of_joy word though done live feeds handle another second',NOT
'never still terrorist must jail',NOT
'jewish really supporting nazis dems running hitlers playbook years york jews side nazis speak israel cas',NOT
'feel guys rush something girls looks without really knowing knowing dont want without thinking damage girls mind',NOT
'extremely satire fact dont sense humor stupid fault none means motives native american woman bigoted',OFF
'kind known personality brave enough continue holy accept india definitely chang',NOT
'mean senior generally individual surprise surprise hasnt changed good people allows things don',NOT
'saying',OFF
'trust mark sorry running term fine city stop year start elect',NOT
'delusional liberals hate cant even acknowledge',OFF
'better shit better anything red_heart',OFF
