@relation Train
@attribute Lancaster string
@attribute subtask_a {NOT,OFF}
@data
'thats conservatives afraid weed think make love black people',NOT
'proud',NOT
'couldnt care less either',NOT
'stoned hell stoned',OFF
'remember #tcot #ccot #maga #kag #qanon #walkaway #wwg1wga #kavanaugh',NOT
'#onpoli #conservatives #conservative doesnt mean great power comes great responsibility judicial youre democracy',OFF
'common sense control looney leftists firearms safety',NOT
'hadnt really thought really worship though lots people arguments examples modern liberals saying race instance dont recognize much different though',NOT
'thank please give mcconnell kick butt conservatives',OFF
'tweet account dont control previous time call control mine michael bloomberg',NOT
'exactly full',NOT
'idiot cant believe',NOT
'another disgrace',NOT
'call',OFF
'want make clear dont think control answer people looking violence concerned find people focus mental health bullying schools want address root problem',NOT
'shes active lately album sometime year',NOT
'makes realize good words crowd keeps',NOT
'shes liberal',OFF
'didnt fired espn',OFF
'dont understand',NOT
'real problem',NOT
'students live shooter fear killed school already best send schools might action control hypocrite',OFF
'poor liberals hope',OFF
'common sense followers',OFF
'several allegations chasing somebody accuses thing shit never ends',OFF
'sorry much article read',NOT
'youre absolutely insane think hearing supreme court judge appropriate place father talk control doesnt state senator hand',NOT
'attention publicizing antifa target list trump supporters names high profile names many random everyday trump supporters twitter suspended account check lists',NOT
'even devil make every single rape children pope refuse condemn didnt remove leadership rapist brought',OFF
'tweets maybe focused sending miss many leave open liberal fascist movement antifa',NOT
'didnt tweet twitter shit',OFF
'hat',NOT
'hypocrisy #nevertrump movement exposed hate trump vile policies anti abortion scotus pick liberals claim allies mind',NOT
'“yes',NOT
'less ready whenever',NOT
'dong',NOT
'screwed trump owns scotus exact upon enemies midterms',OFF
'cares gold possibly illegal',NOT
'mean didnt antifa',NOT
'haul harms druggie',OFF
'believing women',NOT
'hahaha cute',NOT
'knows youll deny fair exchange based recent past conservatives speaks poor rating',NOT
'really think going',NOT
'need unity grow seem band together much better #maga patriots please united_states',NOT
'#trump #maga jack credit openly culture within company hostile conservatives question going',NOT
'victim lets hear blood test shape',NOT
'cheating gets',NOT
'look lovely #maga united_states',NOT
'sorry right flushed_face winking_face kaepernick sales bump next #boycottnfl #boycottnike #maga',NOT
'hasnt reform getting trump free particular famous people exchange attention policies worse',NOT
'fucking time',NOT
'100% correct',NOT
'anyone write anything suppose tomorrow says prophet human race needs follow tell someone useless moron stop giving attention brother nobody',OFF
'guess victory_hand liberals called white power gesture',NOT
'hahaha telling stfu hurt rolling_on_the_floor_laughing',NOT
'seenoevil_monkey half isnt african culture know rest african didnt feel strong representation anyone able share thoughts thats',NOT
'definitely living outside cant book amazon weeks back ordered first print',NOT
'cool blind idiot concept already real thing religion thousands years peopl make fucking',OFF
'maga dear friend says followers face_with_tears_of_joy',NOT
'holiday parents place pole parents call support',NOT
'deliry',OFF
'possible gave california rating control',NOT
'love using platform something positive hundred_points',NOT
'dumb bitch rude mexico',OFF
'alert candace owens attacked antifa',OFF
'section',NOT
'beat another knee',NOT
'dont think',NOT
'another dumbass democrat thing president lazy another bullshit story usual',OFF
'american justice liberals guilty proven',NOT
'thank secretary hard work true patriot bless america #maga',NOT
'liberals leftists rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing brian',NOT
'posts world stops moment appreciate',OFF
'democrats desperate threatening collins anything delay confirmation reelection line desperate &amp quite aware going',OFF
'flake flake wants someone &amp heard stand senate',NOT
'omfg sooo glad life best love talking',NOT
'moves forward damn facts long keep narrative dangerous line scale line bunch liberal idiots conservatives justify actions liberal',OFF
'black people need white liberals keep turning violence based things offensive',NOT
'voting certainly critical &amp share agree #republicans #conservatives #maga',NOT
'poor baby entire network trusted people still watching brainwashed liberals demonrats',OFF
'hell country hate &amp weaponized govt destroy &amp quit telling kids hate best county disgrace',NOT
'going rest #deepstate',NOT
'parkland call stricter control rally',NOT
'shes right',NOT
'best part read exchange thread year later dude comes back antifa caused nazis bullshit lmao best mean',NOT
'done younger moron island state police class weeks listening drinking jok',NOT
'clearly defensive shit',OFF
'think meant write michael',NOT
'antifa condition',NOT
'suggesting policy rates benefit sanctions graph suggest true 2017 sanctions rate lower previous sanctions good pressure',NOT
'gonna',OFF
'example dont think liberal issue issue borders citizenship liberals assume rights arguments apply across borders apply within borders view',NOT
'looks antifa president',NOT
'girl votes done know native told vote kavanaugh scotus',NOT
'send antifa super soldiers sort tommy fans',NOT
'everyday working women vote republican keep trump policies vote cost money folks #maga #winning',NOT
'book slander nothing clown tool',OFF
'many country must address sensible control enough vote blue garbage streets',OFF
'appears must think',OFF
'mentally unstable',OFF
'character clinton cartoon maybe',OFF
'total control works fine well mexico',NOT
'good friends stars dont always know star life',NOT
'arent around understand denying porn',OFF
'many willing testify oath actually knew kavanaugh many testify said kavanaugh said know',NOT
'fema contacted senator liar girl tell truth',OFF
'thought antifa actually fascists shows actual fascists room',OFF
'think',NOT
'absurd left violent feminists communists form antifa attack peaceful power years wonder occur guys doubt moral',OFF
'still pushing sexual predator feinstein hero list women long raped worse trumps fault',NOT
'anyone surprised #maga #qanon',OFF
'reports tweeted earlier',NOT
'amazing',NOT
'wisconsin duck duck',OFF
'followed maga',NOT
'please honest acknowledge trans stuff mental disorder normal human behavior',NOT
'good liberals allow rapist continue serving federal district court victim continues suffer said',OFF
'pretending something phony lies wont change',OFF
'racial isnt racist liberals twisted something actual definition racism thinking race better another race doesnt meet definition',NOT
'beer owns conservatives',NOT
'give break #maga #draintheswamp',NOT
'really member labour party said conservatives interested think labour conservative dont liberal opposite conservative liberal right wing',NOT
'seriously face_with_tears_of_joy word though done live feeds handle another second',NOT
'never still terrorist must jail',NOT
'jewish really supporting nazis dems running hitlers playbook years york jews side nazis speak israel case',NOT
