@relation Train
@attribute word_tokenize string
@attribute subtask_a {NOT,OFF}
@data
'fuck',OFF
'good loser',OFF
'let bottom check back make sure enjoy best offer asap',NOT
'record know doug jone person credibl choic wont next elect',NOT
'presid feel total opposit cnn feel theyr liber',NOT
'liter narr nazi punch antifa punch side coin group want extermin deport jew want prevent comparison benefit fash',OFF
'mani dumb argument control dumbest common',OFF
'what go',NOT
'yall need chill realli abysm half abysm half basebal happen thing still need work power number drop back anytim',NOT
'dude lmao pack',NOT
'that trump support cant even wear without abus meet anim left attack antifa democrat parti',NOT
'laugh gotten enough',NOT
'well',NOT
'first dont even pizza',NOT
'pleas dont kill antifa hand',OFF
'100 % healthi game obvious excus your mayb “ all doom ” sort thing seem game mayb still pretti good',NOT
'good girl',NOT
'ugli black heart troll',OFF
'clearli master almost rare candi alon legaci depend keep collect piec valu game',NOT
'dont believ hype',OFF
'follow maga pleas follow back',NOT
'# protest report # except # footbal # flag say # get wors even type # maga # mega # mbga # mcga # conserv # patriot # muslim # farleft # leftist ( doom lose realis # soon',NOT
'liber still vote theyll claim comment taken context still integr',NOT
'save maga',OFF
'bring honor decenc pictur that rich',NOT
'good',NOT
'goddess',NOT
'worst best case best made ) part ask dead hurt poor thing rest nope suffer dead yeah pretti dead',NOT
'probabl imagin snowflak dont feel safe work might conserv shadow conserv centuri',OFF
'light even last elect conserv split come tori soon',NOT
'crying_fac damn hater delet reason',OFF
'think canadian liber actual blame trudeau cost standard push',NOT
'warn everyon josh gordon last month daili basi sure shock today',NOT
'cant liber read read',NOT
'that bitch',OFF
'discuss',NOT
'part collus dont',OFF
'face_with_tears_of_joy',NOT
'amaz yellow_heart yellow_heart yellow_heart',NOT
'troop',NOT
'reason illeg valu black muslim reason believ illeg valu simpli result charact support',OFF
'leftist democrat riot street antifa',OFF
'thought canada strict control help understand happen',NOT
'dont want follow peopl dont conserv sicken bias twitter manag #',NOT
'life',NOT
'import midterm word # democrat want peopl color believ support know fals word spread even need know # maga #',NOT
'antifa give death threat professor ford threaten violenc candid lose impeach',OFF
'seen listen antifa',NOT
'case antifa littl someth good kind thing',NOT
'titl scare littl',NOT
'& middl africa good bloodi luck',NOT
'interact tori volunt volunt wit today demand move back parad # # cdnpoli',NOT
'seem get thing done',NOT
'ad video combat maga assassin david (',NOT
'make alleg day guilti proven innoc liber mental',OFF
'straight differ thank biden wonder outcom name antifa hill',NOT
'game suck ball',OFF
'real gorgeou',NOT
'absolut nail coffin',OFF
'hope get twitter tell amaz red_heart grinning_face_with_smiling_ey',NOT
'“ they ” control tri proven failur peopl dont vote democrat refus admit realiti control doesnt work',NOT
'liber popul state make polici rest america clue california biggest popul mean share valu clue hillari',NOT
'doesnt fund antifa',NOT
'dumbass',OFF
'# levistrauss want control mani wonder heck want freedom taken away select freedom',OFF
'point time dont think pre trump give sh*t neither',OFF
'conserv poll vote',NOT
'donni famili countri apolog take crimin activ white hous line pocket father unfit make republ shame famili justic',OFF
'poll year found percent black american said legal immigr brought year # maga # tcot',NOT
'doubt offici becom nation socialist american worker parti gone act # antifa',NOT
'cute',OFF
'chelsea crazi mother',OFF
'time # conserv # sent back australia',NOT
'2015 manifesto promis vote back think brexit gone brit allow vote referendum',NOT
'metoo movement must extens antifa complet joke movement wasnt select biden court girl camera',NOT
'awesom thank give human hope',NOT
'goober ',NOT
'anoth',NOT
'forgot foster child',NOT
'# dem want believ doesnt major liber leader corrupt # obama # real loser # maga # trump',OFF
'fuck said',NOT
'supposedli smart peopl didnt think moment audienc peopl vote trump scare hear speak',NOT
'surpris take sick woman make type accus kind find left liber pray realli weak member collin flake pull back support',NOT
'california control direct result white peopl scare black panther use right bear arm problem control',OFF
'brazil citizen vote “ ” govern implement strict control factor % govern still violat referendum everyday murder effect method self defens',NOT
'claim without deceiv truth confess sin faith forgiv sin john )',NOT
'million permit hold peopl carri legal conceal firearm didnt hurt anyon want stronger control idiot face_with_raised_eyebrow wonder media hype incid fit agenda',OFF
'hurt control freak',OFF
'everi hyster tweet',NOT
'alway show dedic wonder best',NOT
'bullshit regul good keep conserv land',OFF
'owner',OFF
'life # maga',OFF
'fuck',OFF
'confirm left wing activist liar who stori chang hard evid # christineblaseyford innoc proven guilti # confirmkavanaugh # maga # # republican',OFF
'reagan sign first control bill governor',NOT
'realli need obviou',NOT
'year extens conserv rape liber',NOT
'assum go answer # liber $ polici plan # wakeupamerica america futur vote republican surrend america # dem moron # maga',OFF
'serious need mental health treatment firearm confisc longer danger other wait control advoc list school shoot buy handgun',NOT
'leftist show vile',OFF
'drunk crazi',OFF
'honor includ fine patriot thank # maga united_st grinning_fac two_heart united_st',NOT
'pleas shut ontario see conserv stand help loos never go anywher complet tune canadian harper oop mean scheer common mistak much',NOT
'alon sexual assault fellow student never report didnt think believ someth happen made realiz wasnt victim felt made mistak',NOT
'liber',NOT
'anoth terrorist attack report',NOT
'dont know',NOT
'money hadnt made smarter',OFF
'make laugh much',NOT
'folded_hand face_with_tears_of_joy',NOT
'alway thought ford level head guess note ford climat chang happen everi year',NOT
'yeah need made bullshit protestor antifa time epic',OFF
'unfortun your right keep real assault weapon',NOT
'real fire fire fire',NOT
'thank everyon make possibl amaz beauti bear member oliv armi appreci everyth make live better',NOT
'“ yeah everyth sort need sort ” still take small wine guess wouldnt profil',NOT
'dont move liber seem make shit hole larg citi somewher alreadi shit hole dont work',OFF
'',NOT
'tri went nowher 100 % control done',NOT
'kill mani hunt rifl time close hour polic enter room actual shoot make control go peopl kill need smarter',NOT
'individu sens need belong win team constant condit strong sens side side well regardless think theyr win',NOT
'know dont know talk dont tweet',NOT
'anoth demonstr free zone dont work brought liber like support stricter control',NOT
'shouldnt pussi grab wear handl food # maga',OFF
'plan environ even conserv abl understand abl live planet make money',NOT
'happen tell white liber dont congratul woke money mouth simpl fact life break brain',NOT
'antifa doesnt beat chang mind know lost caus chang fascist mind scare hide stop spread hate ideolog forc view other',OFF
'soro root everyth anyth anti american money hollywood islam antifa illeg',NOT
'# cloth conserv misogyni bigotri alway display respons trump',OFF
'truli idiot thing seen',OFF
'experienc life nightmar sound american book attent warn america',NOT
'work want control popul australian control effect homicid',OFF
'poor babi',NOT
'antifa democrat',NOT
'liber ruin everyth',OFF
'dont forget tell black liber audienc conserv want back chain',NOT
'exploit reput destroy read she part antifa',NOT
'that happen liber hold good place start control liber get gun',OFF
'look happi maga',OFF
'trump propos racial profil tactic start think',NOT
'introduc sweet sweet babi king alway sooo nice never attack',NOT
'gone bottom first tweet good thumbs_up_light_skin_ton',NOT
'exactli record basic say presid note # gop fine issu',NOT
'# cloth taxpay fund ‘ unpreced arm protect control kamala harri',NOT
'',OFF
'plenti evid guilti hill accus hear arent bench time diff journalist dont call white antifa pick',NOT
'dont understand capabl despit proof economi lie liber entir life believ told liber media made bill clinton look good trump',NOT
'oath must testifi lifetim appoint stake pleas right time & amp allow hatch alreadi made mind lie allow question kind question invit lawsuit',NOT
'yall best',NOT
'joke alright racist phoni right along racist phoni think follow second account block speak truth care less follow parti care discrimin',OFF
'inde',NOT
'littl concern follow slowli becom sort right wing antifa ( excus horribl english nativ didnt much school sorri suck grinning_face_with_sweat',NOT
'antifa liter hitler',NOT
'smiling_face_with_heartey smiling_face_with_heartey smiling_face_with_heartey smiling_face_with_heartey kissing_fac kissing_fac kissing_fac kissing_fac kissing_fac',NOT
'deserv woman happi',NOT
'notic conserv engag twitter',NOT
'forgotten moment citizen right afford citizen dont believ shit goe head',OFF
'that model plenti women make shit ton money look good',NOT
'watch show scientist discov human thought trump get elect proof enough # maga',NOT
'hope watch liber alway enjoy',NOT
'look work histori list board lead servic ( ) come medicar local hell',OFF
'look mirror',NOT
'sure purple_heart',NOT
'send parti # manifesto promis help famili mayb remind duti # # #',NOT
'famili separ border fact pictur children cage liber use show evil trump actual taken obama presid',NOT
'antifa peopl',NOT
'peopl vote june 2016 peopl reject worship stand major your defi peopl & amp 2017 manifesto & amp support soro undermin democraci instead',NOT
'caus bitch play loudly_crying_fac loudly_crying_fac loudly_crying_fac loudly_crying_fac aint give gift noth',OFF
'free bird return muslim',NOT
'speak phone text angri yell phone tell type brother abl tell even yell woman_facepalming_light_skin_ton',NOT
'melt snow flake',NOT
'who victim remain seen liber turn kavanaugh hear circu first minut start',NOT
'come threaten kick dont ball',OFF
'your shock hear liber want central power feder level',NOT
'best smiling_face_with_heartey',NOT
'# liber cant without lie',NOT
'fast furiou holder',NOT
'get scare ugli',OFF
'show progress stand watch dislik right left know right start youv never seen show check youtub insight red_heart united_st # maga',NOT
'suprem court worthi',NOT
'hope',NOT
'',NOT
'bitch',OFF
'& amp & amp & amp & amp poverti & amp climat chang & amp global warm & amp & amp bulli & amp bodi shame & amp polic brutal & amp femin & amp control & amp march & amp protest',OFF
'cant prove either conserv sure love idea ( bash cant help think theyr former continu bash boost fortun ( s )',NOT
'republican pictur maker sorri young republican young conserv born year',NOT
'liber cant meme sens humor knowledg meme philosophi',NOT
'stun',NOT
'bitch right get smack',OFF
'focu proud boy know your real journalist kelli focu one violenc # antifa want stori focu journalist ( leftist activist ) constantli ignor antifa attack peopl',NOT
'hahaha go make',OFF
'call educ liber',NOT
'# maga # # trump2020 # tcot # ccot # americafirst # patriot # brettkavanaugh bill clinton make pattern behavior clear piec pain piec inde',OFF
'# maga peopl growth mean liter noth translat higher incom white individu billion goe compani govern job creat labour pay less live wage lmao',OFF
'energi peopl scream shout your # kavanaugh hear',NOT
'watch hold interview shit lmao nigga suspici',OFF
'bitch built beat want',OFF
'trash',NOT
'pathet',OFF
'psycholog thinker think religion aggress thought deepli think grinning_fac grinning_fac grinning_fac grinning_fac',NOT
'shouldv play saint mari instead london saint ok_hand',NOT
'thank good aggress love',NOT
'empti prison broke logic',NOT
'angel much love',NOT
'ask arrest liber month impeach offens',NOT
'toler left',NOT
'must talk hate conserv',OFF
'that correct # maga',OFF
'show singl case antifa actual murder someon right murder someon charlottesvil hypocrisi work way',NOT
'bobbi that exactli sure',NOT
'white peopl thank jesu republican & amp liber christian mani thank jesu & amp mani former emmi thank jesu daili countri & amp abil turn',NOT
'skip realiz say becom profession kind shit sport mani skip year',NOT
'leftist wrong liber colleg student come unmask corrupt woman determin destroy good judg want liber court',OFF
'feel touch first smiling_face_with_heartey smiling_face_with_heartey smiling_face_with_heartey smiling_face_with_heartey smiling_face_with_heartey',NOT
'great mark great candac great owen togeth team sent liber whole block liber voter head explod pant great team',OFF
'# # data # tour applic # cognit # techniqu speed # govern # data',OFF
'peopl across parti condemn action look bill davi brian even conserv think horribl decis',NOT
'wasnt propos scare tactic realli meant said trump easili pull good maga republican easili steal enough vote independ bring fresh breath polit think',OFF
'liber support liber spent million liber elect offic #',OFF
'notic everyon avoid tweet index_pointing_up index_pointing_up might think refer face_with_tears_of_joy face_with_tears_of_joy comrad stalk everyon',NOT
'viciou bitter ‘ everyon access decent healthcar ‘ liber think crimin free reveal pretti mind',OFF
'fuck game watch',OFF
'grown loudly_crying_fac loudly_crying_fac',NOT
'# health & amp # natur threat',NOT
'didnt kavanaugh need term guilti peopl one need term clue theyr worri go make terribl impress believ theyr tri manag concern',NOT
'dont perpetu go talk # must puerto rican panel difficult #',NOT
'anonym messag # antifa # qanon # thegreatawaken # # # resist',NOT
'antifa place societi',NOT
'vote home west texa inspir',NOT
'liber trashi',OFF
'grape ',NOT
'hello somebodi need danger watch',NOT
'never show much intellig',NOT
'kept kept come back stupid answer final gave dont think polici stupid pleas',OFF
'anyth fuck head',OFF
'sure wast think',NOT
'look # qanon # maga # greatawaken crocodil',NOT
'here back fast furiou proof look influenc control govern fake sandi hook isnt drug somewhat similar',NOT
'need know empti insid',OFF
'dear sorri well send prayer red_heart smiling_face_with_smiling_ey rose',NOT
'sister sweetest person aliv pass woman saint even song written mom saint written children cours',NOT
'liber mental unstabl',OFF
'author search jean home racist drug test murder slander victim',OFF
'line know conserv think',NOT
'dude troll rock beaming_face_with_smiling_ey hurri govt state',NOT
'she said alway pray even cant anyth sure heart broken well event',NOT
'activ threat shot drive need control idea threat exist excus carri scari',NOT
'life',NOT
'hurrican donat found rot puerto rico park',NOT
'follow # fantast # maga # patriot look forward follow back thank & amp wonder united_st folded_hand two_heart',NOT
'suicid rate america similar countri strict jump bridg common method',NOT
'join antifa',NOT
'appar durbin',NOT
'canada regul firearm last quarter centuri law probabl contribut canada mani handgun circul',NOT
'heard make wave',OFF
'anita hill clarenc thoma hope confirm process result # maga smiling_face_with_smiling_ey thumbs_up_mediumlight_skin_ton clapping_hands_mediumlight_skin_ton folded_hands_mediumlight_skin_ton united_st puerto_rico',NOT
'dont',NOT
'time teacher career parent tell he/sh pray alway consid clapping_hands_light_skin_ton clapping_hands_light_skin_ton # #',NOT
'welcom #',NOT
'funni watch liber sudden transpar problem leak truth issu peopl troubl like',NOT
'brown',NOT
'ladi alway make know mean',NOT
'# thursdaythought fuck liber forev',OFF
'scalp custer ',NOT
'proven control law intend disarm abid citizen subvert crimin care law',OFF
'noth abus done anyon includ women peopl countri put horribl worri go easi say agre',NOT
'nigger think give fuck',OFF
'fake vote want sympathi',OFF
'antifa & amp respect',NOT
'differ women american bomb',OFF
'ban gun still legal control keep watch firearm',NOT
'dont anyth trump conserv refus trade busi',NOT
'sign cute',NOT
'russian agent disgrac creep go prison trump sold america russian time time year crime scumbag',OFF
'tactic',NOT
'insan ridicul bullshit',OFF
'popul countri conserv buy',NOT
'shouldnt surpris pig work neonazi unmask antifa protestor local coverag shit didnt cover investig coverag',OFF
'control anyon #',NOT
'read first',NOT
'begin believ liber sociopath none peopl believ rule evid crime #',NOT
'american lazi vote liber mani liber vote throw vote away parti loser next question',OFF
'cant wait maga across chest pictur mueller',NOT
'sure doesnt call gate commun privat secur firm bull though funni liber love privat polic',OFF
'wonder mani children molest',OFF
'amaz admir much alway abl rais ugli & amp hatr show grace',NOT
'england view control stop matter',OFF
'antifa parti & amp sudden expect believ care anyon besid nope',OFF
'antifa caught guard get confront last person',NOT
'ouch',OFF
'wonder apolog diamond call “ show ” fire make face',OFF
'awesom kavanaugh didnt shake control dad hand sorri kill futur judg fault happen white peopl citi silli',OFF
'john spirit cook pedo here photo rather compromis situat # maga # qanon # drainthedeepst # draintheswamp',OFF
'somebodi terrifi happen # american public know # truth youv # drainthedeepst # maga # trump2020 # kag',NOT
'love piss liber',OFF
'still pretti awesom',NOT
'correct',OFF
'turn speech sound liber becom anoth nasti parti person attack individu',OFF
'# sjw crap and/or # # hollywood # movi # game # polit # comic # polic # # council # # # # church # vatican # islam # muslim use weapon miss anyth # mayb # mbga # conserv',NOT
'think talk expect everyon support treat special',NOT
'anoth neg democrat refus disappear',OFF
'elect pleas explain still promot idea alreadi reject weve month noth appear move blind lead blind # brexitshambl #',OFF
'get pari climat agreement voter want obama commit $ toward agreement keep pay third world countri go broke help place illeg either',NOT
'gon na asshol',NOT
'cant effect kill hope mention ladi witch known witch suprem',OFF
'mike countri live countri constitut republ democraci',NOT
'( 2020 elect season ) trump dick dick leftist prove russian puppet trump dick conserv trump',OFF
'# scienc # # health # natur problem mani control',NOT
'interest demoncrap arent even invent enough creat cartoon origin republican liber koolaid alway liber scum earth prove daili lie',OFF
'believ presid fake',NOT
'articl go relev soon # # maga #',NOT
'need',NOT
'face_with_tears_of_joy face_with_tears_of_joy',NOT
'dont think clue leadership liber year children told intellectu goat pleas stop tweet make look quit fool',NOT
'control leftist rather child respons parent lock front door didnt involv neighbor grab couldnt she lucki didnt find first',NOT
'someon pleas show front center tonight unless today # maga',NOT
'want much liter tell obey',OFF
'sorri hear loss friend',NOT
'famou peopl funni black race baiter',NOT
'dead well good must suck never mind cant even think move ahead alon twitter handl even face_with_rolling_ey face_with_rolling_ey',OFF
'funni conserv didnt there defect sure didnt mind liber defect where integr',NOT
'decid your paid shill hang around qanon youll use',OFF
'anyon want vote democrat want open border control',NOT
'full blown temper tantrum manafort',NOT
'trump sick toxic mean spirit',OFF
'# voter know right side issu control right answer help determin whether win reelect',OFF
'# # # crimin behav ordinari crimin # maga # maga2020 # #',OFF
'didnt watch dont care # maga',NOT
'full',OFF
'wait conserv cri need safe space sudden liber elit colleg',NOT
'hell boycott much',OFF
'respect constitut need offic # votedemsout # votered2018 # therainmak # qanon # maga # wwg1wga',NOT
'antiantifa ball',OFF
'believ correct wise red_heart red_heart',NOT
'go hardcor bitch',OFF
'hope right',NOT
'',NOT
'dont stand reject may # remain surrend',NOT
'use monkey heart play wife hell',OFF
'yeah think say addict life long battl regardless josh keep demon everi',NOT
'word speak behalf cant peopl make feel peopl better',NOT
'think didnt call tri make bulli grinning_squinting_fac',OFF
'cute',NOT
'disgust disgust support break union # united_kingdom',OFF
'almost year ( ) someth chang control discuss went back control america power lobbi group',NOT
'hope voter realis end well midterm',OFF
'tell public sector there magic money tree disast mean # crisi compet sector',NOT
'absolut right',NOT
'thought said number someon lie',NOT
'piti reason economi offic presid trump phone regul legaci know speech democrat messag smiling_face_with_sunglass vote republican',NOT
'never color face_with_raised_eyebrow public safeti concern control assault rifl',NOT
'rich fan follow first hardli honor',NOT
'fund rais dinner parti stori rip union piec person gain light moment mani # brexit endeavor',NOT
'antifa type might even show sort',NOT
'2018 chart overal fuck cardi way catch',OFF
'think miss repli confer call ) anti muslim vet know disagre control seem',OFF
'look racist white liber freak said white privileg',OFF
'rush flick thru even feed still boss',OFF
'reinforc fact much',NOT
'realli # liber ruin everyth #',OFF
'lie lie antifa democrat',NOT
'cant lump small liber conserv right',NOT
'never thought left actual admit want shut free speech unless least admit facist creat facist',OFF
'lmao know face_with_tears_of_joy that tri hard expos shit cant never relat anyway',OFF
'bullshit',OFF
'look free ride back american taxpay liber look vote need bring peopl bottom support',NOT
'bono gone dark side global',NOT
'feel pretti fuck start fine',OFF
'what command',NOT
'definit better previou administr still believ sane peopl vote head mani closet republican chip # voteredtosaveamerica ignor # kag2018 # maga united_st',NOT
'excel idea intellig',NOT
'aw',OFF
'dont know anyth although believ democrat fund alway think dem main terror group day antifa',OFF
'liber leona alleslev decis cross floor & amp join conserv seem betray support consult vote legal imagin # decid cross floor & amp becom liber thinking_fac face_with_tears_of_joy',NOT
'modern conserv arent bright found father want slaveri principl nuanc modern conserv principl principl test time',NOT
'absolut useless everyon know except media',OFF
'make sure elect senat america let # maga togeth',NOT
'anyon care say',OFF
'chanc hell start take lose whatev identifi today # maga tire # win novemb # redwaverising2018 cant stop #',OFF
'your ask liber reason logic look peopl suffer collect almost hour educ elit crazi soldier like beyond help',NOT
'guess know much watch woman_shrug figur ) great night brett',NOT
'hope serv liber feel must hope there must moral conscienc',NOT
'hope voter wont forget made lack leadership left betray vote leav rest #',NOT
'hope obes catch',OFF
'think higher portion',NOT
'that conserv afraid weed think make love black peopl',NOT
'proud',NOT
'couldnt care less either',NOT
'stone hell stone',OFF
'rememb # tcot # ccot # maga # kag # qanon # walkaway # wwg1wga # kavanaugh',NOT
'# # onpoli # conserv # conserv # doesnt mean great power come great respons overrid judici process your overrid democraci',OFF
'common sens control indic looney leftist possess firearm safeti',NOT
'hadnt realli thought realli worship though lot peopl argument exampl modern liber say race mix instanc dont recogn much differ though',NOT
'thank pleas give mcconnel kick butt conserv',OFF
'tweet account dont control previou time slot refer bloomberg call control mine michael bloomberg',NOT
'exactli full',NOT
'idiot cant believ “ ”',NOT
'anoth disgrac',NOT
'call',OFF
'want make clear dont think control answer peopl look violenc concern find peopl focu mental health bulli school want address root problem',NOT
'she activ late drop album sometim year',NOT
'make realiz good word crowd keep tone',NOT
'she ‘ liber',OFF
'didnt fire espn',OFF
'dont understand racist',NOT
'( she ) real problem',NOT
'student live shooter distract fear kill school alreadi best send school might action control hypocrit',OFF
'poor liber hope',OFF
'common sens follow',OFF
'sever alleg chase somebodi accus thing shit never end',OFF
'sorri much articl read',NOT
'your absolut insan think hear suprem court judg appropri place father talk control doesnt enact uphold demand state senat shake hand',NOT
'attent public antifa target list trump support name high profil name mani random everyday trump support twitter suspend account check list',NOT
'even devil make everi singl rape children pope refus condemn didnt remov leadership rapist brought',OFF
'tweet mayb focus send miss mani leav open liber fascist movement antifa',NOT
'didnt tweet twitter shit',OFF
'hate',NOT
'hypocrisi # nevertrump movement expos hate trump vile polici anti abort scotu pick liber claim alli mind',NOT
'“',NOT
'less readi whenev',NOT
'dong ',NOT
'screw trump own scotu exact upon enemi midterm',OFF
'care gold possibl illeg record',NOT
'mean didnt antifa',NOT
'harm',OFF
'believ women',NOT
'hahaha cute',NOT
'know youll deni fair exchang base recent past interact conserv speak poor rate',NOT
'realli think go',NOT
'need uniti grow seem band togeth much better # maga patriot pleas united_st',NOT
'# trump # maga jack credit openli acknowledg cultur within compani hostil conserv question go',NOT
'victim let hear blood test perpetr shape',NOT
'cheat get',NOT
'look love # # maga united_st',NOT
'sorri right winger flushed_fac winking_fac ” look kaepernick sale bump nike earn next week ” # # boycottnfl # boycottnik # maga',NOT
'hasnt reform get trump free particular famou peopl exchang attent polici wors',NOT
'fuck time',NOT
'100 % correct',NOT
'anyon write anyth suppos tomorrow say prophet human race need follow tell someon useless moron stop give attent brother nobodi',OFF
'guess victory_hand liber call white power gestur',NOT
'hahaha tell stfu hurt rolling_on_the_floor_laugh',NOT
'seenoevil_monkey half isnt african cultur know rest african didnt feel strong represent anyon abl share thought that',NOT
'definit live outsid cant book amazon week back order first print copi',NOT
'cool blind idiot concept alreadi real thing religion thousand year peopl make fuck refer retard',OFF
'‘ face_with_tears_of_joy maga dear friend say follow $ face_with_tears_of_joy # fact',NOT
'holiday parent place sticker pole parent restaur call support',NOT
'deliri ',OFF
'possibl gave california rate control',NOT
'love use platform someth posit hundred_point',NOT
'dumb bitch rude awaken mexico',OFF
'alert candac owen attack antifa',OFF
'section',NOT
'beat anoth knee',NOT
'dont think',NOT
'anoth dumbass democrat thing presid lazi anoth bullshit stori usual',OFF
'american justic liber guilti proven innoc',NOT
'thank secretari hard work true patriot bless america # maga',NOT
'liber leftist rolling_on_the_floor_laugh rolling_on_the_floor_laugh rolling_on_the_floor_laugh rolling_on_the_floor_laugh brian',NOT
'post world stop moment appreci',OFF
'democrat desper threaten collin anyth delay confirm reelect line desper & amp quit awar go',OFF
'flake flake want someon & amp heard stand senat race',NOT
'omfg sooo glad life best love talk',NOT
'move forward damn fact long keep narr danger line scale line bunch liber idiot conserv justifi action liber',OFF
'black peopl need white liber keep turn violenc base thing perceiv offens',NOT
'vote option certainli critic & amp share agre # # republican # # conserv # maga',NOT
'poor babi entir network trust peopl still watch brainwash liber demonrat',OFF
'hell countri hate trash & amp weapon govt destroy & amp quit tell kid hate best counti disgrac',NOT
'go rest # deepstat #',NOT
'# parent parkland # victim call stricter # gun control ralli',NOT
'she right she',NOT
'best part read exchang thread year later dude come back antifa caus nazi bullshit lmao best mean',NOT
'done younger moron island state polic class week tend listen drink custom joke',NOT
'( she clearli defens stanc ) shit',OFF
'think meant write michael',NOT
'antifa condit',NOT
'suggest polici ( sanction regim ) inform rate benefit sanction graph suggest true 2017 sanction rate lower previou sanction regim good observ pressur',NOT
'gon na',OFF
