@relation Train
@attribute word_tokenize string
@attribute subtask_b {UNT,TIN}
@data
'hand signal use ignor peopl signal white supremaci evil peopl idea piss liber ignor display ignor hate dont deserv time attent',UNT
'# usa probabl # europ # level intellig yall # maga # mega # mbga # mcga # conserv # patriot # celebr',TIN
'republican go learn democrat hate conserv vote',TIN
'isnt bitch antifa',TIN
'certainli throw control & amp account window illeg involv see shit hear voic',TIN
'proof hate exactli pre washington warn address hate constitut stand agenda mayb push social control',TIN
'beast',TIN
'commit mani crime care liar belong prison # maga',TIN
'peopl thought forev idiot',TIN
'fool hill',TIN
'cours liber truth accept that dont believ believ ellison',TIN
'nose distract news',TIN
'thank conserv let blind sexual societi centuri make conserv caus',TIN
'stop jump',TIN
'think other liber rememb famou “ you never seriou crisi wast ”',TIN
'use liber & amp racism & amp desper #',TIN
'appar doesnt know bought went black ownership white rolling_on_the_floor_laugh rolling_on_the_floor_laugh rolling_on_the_floor_laugh rolling_on_the_floor_laugh rolling_on_the_floor_laugh',TIN
'report report miss report chines govern heck go',UNT
'desper abus power caus lose mind',TIN
'gon na bitch',TIN
'she s s # maga united_st',TIN
'ancient couldnt cock cock fight liter illeg',TIN
'fuck delusion',TIN
'isnt great liber ignor pain victim democrat realli sick',TIN
'cant lose liter whole offens',TIN
'notic broke away soon senat start talk great growth rate salari increas crook neg conserv liber # drainthedeepst #',TIN
'absolut dick pouting_fac',TIN
'well guess total fine attack charact mistak mean right american victim violenc call control law anyway',TIN
'liber emot understand around condemn agre complet fuck ration “ nobodi believ women year let believ women screw legal system pig guilti ”',TIN
'obama must democrat thought pleas',TIN
'wouldnt surpris fals call conserv fascist justifi physic attack trump nazi kill matter time suggest',TIN
'idea nazi socialist complet inabl realiti mind blow antifa shit call civil defend slaveri consid fascist',TIN
'time worst',TIN
'life suck # face_with_tears_of_joy go along crimin friend line cross lie tell never anyth snake # maga # trump2020 #',TIN
'let kavanaugh bring case make argument hypocrisi irrelev say let investig bank liber rob bank',TIN
'# smiling_face_with_heartey cheerlead',TIN
'shit right show friend quit trigger',TIN
'higher unemploy witch hunt lynch antifa communist shit hollywood decid feel',TIN
'everyth issu live anoth countri iran',TIN
'admit anyth read tweet pleas rather good antifa nazi name self still thug fight freedom free free hate',TIN
'holder held contempt congress isnt prison fast furiou murder',TIN
'expos demon violat constitut violenc & amp threat govt instead win poll name domest terrorist & amp jail',TIN
'grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat control stupid child go chang peopl case stupid give firearm free speech right govern fuck',TIN
'republican platform away healthcar harm environ away children away women right believ rule voter away social secur limit control explod budget #',TIN
'mayb talk doubl standard liber conserv somebodi alway victim',TIN
'# qanon # maga think noth happen',TIN
'attorney ‘ help kavanaugh sexual abus charg back day cant proven & amp name wit deni # pathet # confirmkavanaugh # # # maga # # trump2020 #',TIN
'obama administr person folk actual treason attempt coup',UNT
'fuck',TIN
'buy pussi bitch tri love',TIN
'thank obama everi soldier crazi life support work trump wrong label veteran mean control',TIN
'suffer fool seen enough shit last live',TIN
'conserv cathol hypocrit',TIN
'suck',TIN
'well theyll page replac say everyon need chicken',TIN
'believ woman person shit show experi werent true stand ford',TIN
'communist democrat socialist human',TIN
'piss popul actual support footbal shock number took nose shock',TIN
'caus',TIN
'peopl get shot kick place conserv # maga # walkaway # confirmkavanaugh',TIN
'yeah control polici jean compani beyond trump hard almost enough snowflak claim dislik hard tell part',TIN
'# right thing conserv power democrat miser human sick tire tantrum democrat freak lost elect pleas reason',TIN
'# # leader # proud allow come right your insan # trudeau # liber # # canada #',TIN
'need chang act spoil child throw tantrum show world sore loser nation isnt great improv anyon view',TIN
'revers import issu mental health mental health control great liar proven & amp worship away that right',TIN
'quick kill thank antifa',TIN
'idiot comment disgrac',TIN
'suck',TIN
'side promis wall anyon believ anyth promis',TIN
'fair posit liber cell',TIN
'disgust hypocrit',TIN
'well allow still protest stop group realli hitler earli time nazi parti group known beat politician peopl didnt agre ( sound smell antifa )',TIN
'fuck love true actual type job learn',UNT
'# nope time gone wrong # book first tweet book liber trump american dont known worst',TIN
'say relat control polic depart prosecut famili time limit access weapon polic depart acknowledg wrong correct dont deserv access weapon',TIN
'dont stop “ ” shit slip weary_fac',UNT
'want control corpor american dont stand cop assassin black american cop enemi american that want kill black america thank',TIN
'bitch complain corpor lobbi lmaooo',TIN
'shit today made want polit earli who respons word',TIN
'fuck bitch decid gone',TIN
'# liber straw #',TIN
'funni human right abort settl lie deceiv',TIN
'clearli racist anti citizen allow conserv never serious dont start fair',TIN
'damn victim littl thing call much one site',UNT
'kavanaugh confirm sexual sit suprem court conserv nomin republican democrat women scotu republican pervert # # #',TIN
'liber shame justifi mean',TIN
'come worri straw clean fail shitti know',TIN
'popular side doesnt equal win side fact privat school much better educ student public school public school teacher dont deserv privat school teacher',TIN
'fuck',TIN
'suppos think liber attack courag your anoth hypocrit',TIN
'great american patriot dreg societi delusion blow biden disgrac america',TIN
'joke anoth dirti trick democrat georg soro democrat parti know shame # maga',TIN
'actual report fuck',TIN
'shit anyway',TIN
'world countri bullshit dont bullshit problem fuck fuck dipshit prevent sensibl control',TIN
'right lefti ( ) liber troubl paper proper journalist ethic funni grinning_squinting_fac grinning_squinting_fac grinning_squinting_fac highest funni communist past ( ) grinning_squinting_fac grinning_squinting_fac grinning_squinting_fac',TIN
'great control take hand girl',TIN
'disgust tell anyth need order that conserv kavanaugh',UNT
'never guess play game ) free time weird jump foot',TIN
'back canada freak',TIN
'agre forc adult meme choic individu develop enough mean',TIN
'doesnt team stay that success outsid threat',TIN
'nike lost $ billion name face “ bullshit',TIN
'googl hell',TIN
'chicago democrat decad solv problem creat begin absolut code control that happen help anyway need start hire',UNT
'sadli wors exampl good christian',TIN
'work texa paid soro cartel cruz beto danger person anoth sheepl',TIN
'want kiss',TIN
'beto want open border illeg come pleas control weapon #',TIN
'absolut point debat liber parti left noth hate side trump creat world peac societi liber still resist reason hatr',TIN
'hope ‘ not smarter mayb',TIN
'100 % agre trump surpris mani liber talk cute crimin',TIN
'# call trump support dreg societi # biden organ coup # steal peopl leav countri search job # maga # potu #',TIN
'destroy excus beat time bullshit love',TIN
'lie rumor spread liber known hell',TIN
'she she push control assassin',TIN
'grew listen kid shit break heart',TIN
'delusion idiot traitor',TIN
'mother left flush goe antifa ralli celebr',TIN
'head bout shit',TIN
'complet utter wast time liber',TIN
'blame trump corrupt exist decad typic democrat',TIN
'nigga ad',TIN
'right bastard liter everywher left antifa support counter balanc',TIN
'terribl person probabl rape peopl human book noth field play dont person',TIN
'idiot fuck peopl',TIN
'start tweet pussi shit',TIN
'weak realli beat',TIN
'background kept cop enforc attempt keep quit troubl maga',UNT
'bird ',TIN
'name dog fuck clue',TIN
'mani arrest taken place socialist media cover cours come arrest make socialist head explod wwg1wga maga drain swamp build wall',TIN
'least smart enough trump smart enough know cant hurt trump hurt trump idiot',TIN
'holi shit peopl pleas dead program somewher keep around watch',TIN
'poor liber',TIN
'tell bodi count refus woman fuck',TIN
'dumbass realli think hell last loudly_crying_fac',TIN
'realiz fool make weird obsess # mayb research spout nonsens',TIN
'liber today differ classic liber liber today gone left your buri head think & amp classic lib trump authoritarian peopl want & amp kill',TIN
'incit violenc toward trump support list target antifa',TIN
'aint nobodi bitter women know worth spend life somebodi actual live becom best version look cute alway',TIN
'word talk actual shoot mean control',TIN
'wit protect wish mobil phone call share escap #',TIN
'need ladi spread pussi smiling_face_with_heartey',TIN
'realli think work go tell wife go hell',TIN
'still',TIN
'antifa democrat gon na novemb final nail coffin trust fund fakenew',TIN
'good bitch hood miss face_with_tears_of_joy crazi thing say smoke hous use everyday',TIN
'california lot worthless control law alreadi control work crazi peopl dont obey',TIN
'bitch post hope better soon',TIN
'escap shit even dont regret watch minut #',UNT
'know never seen watch game take shit level',TIN
'like forgot mental drop everyday woman serv longer said trump rememb part problem solut maga',TIN
'liber trump fault thinking_fac',TIN
'follow sociopath moron',UNT
'democrat love great countri watch liber democrat parti tri destroy everyth love countri # walkaway actual # # # # maga # kag everyon united_st',TIN
'shame # spend million kavanaugh control isnt',TIN
'good democraci read democraci fail',TIN
'control need leftist liber control gun dont kill peopl idiot leftist # # # walkaway',TIN
'face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy yeah peac right theyr right counter protest unlik fascist antifa count',UNT
'nose billi smell shit',TIN
'live fuck nightmar #',TIN
'tell attent #',TIN
'think countri follow maga grinning_fac peopl sick & amp',UNT
'bring great point moron realli look life movi control debat time serious think never hurt want teacher idiot',TIN
'idiot hand billion like worst deal histori foreign polici poster child someon qualifi',TIN
'peopl worst kind crimin play emot base hatr countri insan rhetor play constant mind game caus anger help caus liber catch',TIN
'come testifi safe street armi # antifa even wear cute black mask american democrat parti protect good',TIN
'okay violent liber antifa hood beat stranger know noth',TIN
'made wife bibl challeng kid obvious shit isnt',UNT
'liber democrat someth wrong',TIN
'liber your crimin',TIN
'cant believ replac american flag antifa flag',TIN
'lie keep hear everyday tire put dont beauti problem beauti seen place tell beauti accept noth less',UNT
'believ exist believ democrat creat “ republican ” idiot thing discredit conserv',TIN
'dont know dont realli care rich dude probabl hate presid countri',TIN
'teach grown there winner serena tantrum',TIN
'shoot common talk control',TIN
'pleas stop your make easi mock left #',TIN
'team even know',TIN
'suggest use remov',TIN
'# obama wall wont keep terrorist away obama control prevent kill crimin ( and terrorist ) # walkaway',TIN
'republican disgust peopl',TIN
'antifa averag american news',TIN
'talk idiot liber mental disord book liber mind caus polit expos ideolog motiv liber actual mental disord read',TIN
'& comment neg slam chri promot vote michael love rapist & amp moor & amp latest kill dem movi town hall women right & amp control kavanaugh vote instead',TIN
'first time express toward public vote peopl vote offic year think',TIN
'fuck queen thing control convers help comment decis swear',TIN
'liber crap everyth',TIN
'attent anyth interest meme jerk',TIN
'liber playbook',TIN
'congress maga',TIN
'never nigga skull skull',TIN
'glad dont know anyon bunch',TIN
'left parti play communist crime',TIN
'trump fine peopl side antifa punch nazi dont want punch dont nazi crazi nazi liter murder folk tri bomb shit soooo yeah your right wing sorri that case',TIN
'embrac antifa career killer',TIN
'that say read tweet never said put word mouth liber realli asshol cant civil discuss',TIN
'experi problem think suffer bastard disord',TIN
'jerri need away alreadi good act fool fool',TIN
'knew scare',TIN
'need remov posit children abus cover',TIN
'nope teach give shit liber think',TIN
'impli agent devil fulli agre',TIN
'sexi smiling_face_with_heartey smiling_face_with_heartey winking_fac winking_fac',TIN
'mock claim speak peopl stand norm right label drink elitist',TIN
'shock addict alleg pervert # # # gunsens # # maga #',TIN
'mani women countri stupid liber today',TIN
'think like better conserv pretend rape claim rape get better time',TIN
'blow dirt million',TIN
'control gun idiot',TIN
'fake nation emerg creat conserv bullshit',TIN
'need marijuana lobbi bribe your screw good america mean noth control',TIN
'part watch conserv lose mind usual democrat mean',UNT
'open think sit wait pick call back said receiv wrong need pick open need head ass',TIN
'denounc democrat & amp antifa thug done & amp done',TIN
'dont think that look fuckin shit might look exactli',UNT
'chicago stop violenc seem democrat claim stop show worst violenc citi control democrat nation work make model success control polici',TIN
'american liber young power everyon racist rapist fascist keep everyon addict social program dont teach keep addict govern dont think dem keep black hispan',TIN
'judg moor stori # maga',TIN
'100 %',TIN
'well peopl dreg societi presid support least didnt stage coup # qanon # # # maga',TIN
'# major think # & amp # lie # never seen mani sore loser throw almost year embarrass # magaunited_st',TIN
'destroy hard work small busi evil pretti face fall',TIN
'said antifa black organ',TIN
'tell simpli racist',TIN
'% stand # didnt even know none wit stori democrat & amp liber destroy america # confirmkavanaughnow',TIN
'sure organ respect street enforc protect serv citizen miss part',TIN
'alreadi strict control law counti cant blame',TIN
'nobodi kill beat cheap becom popular follow popular india best luck hope video togeth make next video popular',TIN
'tri shit got ta decent least',TIN
'proven lie',TIN
'fund entir school teacher salari teach curriculum indoctrin gener youth see tank',TIN
'investig antifa terrorist go',TIN
'agre dumb heart attack look',TIN
'hillari social studi curriculum curriculum noth shock curriculum happi glad she near',TIN
'educ crap cant read',TIN
'shut useless',TIN
'found there control cant mass murder school anyon done joke',TIN
'realli go confirm continu kill babi violenc continu despit control',TIN
'guess 100 $ money stole # balanc slush fund # # thursdaythought # # # # # drainthedeepst # maga',TIN
'your anoth twitter asshol # mute',TIN
'doesnt support stand ground arm teacher control believ right zero chanc',TIN
'liber problem lie',TIN
'bother',UNT
'anoth fuck nazi antifa name name',TIN
'funni label media peopl post porn twitter time',TIN
'pant face antifa',TIN
'crook #',UNT
'control measur fast furiou direct violat allow straw allow firearm sold crimin organ',TIN
'rememb much make conserv think puppet peopl upset theyr need teach peopl puppet made',TIN
'hope dont florenc hit heard go great time',UNT
'dont know antifa pretti dumb',TIN
'your fuck cant loudly_crying_fac red_heart',TIN
'dont never pant forev throw peopl nose',TIN
'# conserv # republican # traitor # america',TIN
'obama',TIN
'think support hide support trump life hand # maga never america rememb polit belief still civil & amp upset',TIN
'kiss complet disgrac senat # # # #',TIN
'use place escap she troubl make joke situat jail assault polic offic threaten kill leav bore',TIN
'think afraid pig',TIN
'girl lie everi time open mouth show foolish still left',TIN
'100 % true stupid well',UNT
'rate claim safe nation control mostli fals',TIN
'asshol',TIN
'even white',TIN
'better wors brat antifa bash peopl head love shot look head',TIN
'flake perfect name weirdo',TIN
'stole girl cant blame',TIN
'everi anti abl attack futur gener right',UNT
'much',UNT
'sure anyon expect balanc platform owner satanist',TIN
'berni tell whole truth #',UNT
'wasnt step forward help poor total hypocrit fraud stupid affect style',TIN
'what point clearli ignor natur sexual assault',TIN
'come mouth liar deceiv definit cathol like reform church',TIN
'well cool girl dont shit pop scare littl shit pop',TIN
'tweet show dement liber becom zero credibl',TIN
'bring # # war follow gun',UNT
'lazi wait defend come',TIN
'',TIN
'shit move face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy keep bless weary_fac weary_fac weary_fac weary_fac red_heart woman_facepalm',UNT
'dont even wear shit move away',TIN
'make antifa march start violenc first place',TIN
'tell blue know zero experi shit mueller help actual',TIN
'fals flag narr sign white nationalist whistl # theresist # resist # # antifa #',TIN
'best',TIN
'doesnt want jail lie senat crime commit & amp activist tri stall confirm professor believ antifa member soro',TIN
'drunk driver person scene crime right leftist socialist antifa democrat',TIN
'evid dont care studi start parrot info & amp leftist control',TIN
'fuck your actual',TIN
'coward probabl continu sabotag countri silenc she former porn model',TIN
'shit aint',UNT
'must cash someth whoever come first “ conserv ”',TIN
'million support youth activist work violenc theyr michael help creat busi leader support control measur',TIN
'crap',TIN
'disgust liber shame',TIN
'crazi detail make sure crazi liber doesnt show',TIN
'mayb kavanaugh spare countri hear # afraid go court go major piss hill',TIN
'yeah suck honestli plan come back rather opportun nice start anoth game approv',TIN
'black',TIN
'heck',UNT
'fuck',TIN
'twitter ban conserv anyon speak dem liber closer elect',TIN
'dont stupid post comment',UNT
'evil',TIN
'except ( peopl ) dont want want public hand public servic think everyon countri stupid',TIN
'shit keep fuck',TIN
'that peopl chicago hell control work town',TIN
'good crook',TIN
'actual antifa make want kick right',UNT
'liber make america',UNT
'well that win super media mouth piec',TIN
'antifa terrorist organ',TIN
'doesnt rememb cloth cloth hous song play exact date noth weapon fals accus motiv defend # antifa terrorist noth',TIN
'daddi say dont start face_with_tears_of_joy face_with_tears_of_joy',TIN
'democrat care crap destroy conserv',TIN
'england liber everywher destroy live muslim famili muslim go back think accid read',TIN
'mani window today wear pussi antiamerican antifa pathet wast life slap',TIN
'shit weird',UNT
'disgust peopl countri lefti liber upset forc wear imagin face_with_tears_of_joy worst mistak let peopl appreci',TIN
'liber smart',TIN
'theyr hell',UNT
'balanc danger high shitti rat',TIN
'special kind # antifa learn correct tomorrow proper shit',TIN
'# westminst # tori # brexit # think # angry_fac best without doubt # leav # & amp trade deal & amp #',TIN
'fuckass ',TIN
'resign done noth check part swamp hold valu resign',TIN
'fake news liber',TIN
'traitor',TIN
'that immatur mention class even',TIN
'see liber #',TIN
'suck miss',TIN
'democrat order shut listen keep go littl mind soro sister marri famili',TIN
'line your america back countri look mirror who year',TIN
'figur',TIN
'liter hour rant women stop complain think true wrong well news buddi mean shitti',TIN
'still maga tell boy folk drink & amp turn round fuck free face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',TIN
'assum control argument control threat shot goe accus peopl open carri scare fear shot hypocrit statement',TIN
'eric holder prison',TIN
'say social hous good breath talk hypocrisi fail lie politician line parti pocket money real build failur lie',TIN
'antifa',UNT
'violent # # # # # antifa werent democrat violenc',TIN
'blame fact hispan cours',TIN
