@relation Train
@attribute Porter string
@attribute subtask_b {UNT,TIN}
@data
'hurt control freak',TIN
'bullshit regulations good keeps conservatives land',TIN
'owner culo',TIN
'life #maga',TIN
'fuck',TIN
'confirm left wing activist liar whos story changes hard evidence innocent proven guilty #confirmkavanaugh #maga',TIN
'going answer policy plan #wakeupamerica future vote republican america morons #maga',TIN
'leftists showing',TIN
'drunk crazi',TIN
'money made smart',TIN
'yeah need made bullshit protestors antifa time',UNT
'dont move liberals seem make shit cities somewhere already shit hole dont work',TIN
'shouldnt pussy wearing #maga',TIN
'antifa doesnt beat change mind know lost cause change fascists mind scare hiding stop spread hateful ideology views',TIN
'conservatives always responsible trump',TIN
'truly idiotic thing seen',UNT
'work want control population australian control effect',TIN
'liberals ruin everyth',TIN
'thats happens liberal hold good place start control liberals getting gun',TIN
'look happy maga',TIN
'',TIN
'joke racist phony right along racist phony thinks follow second account block speak truth care less followers party care',TIN
'moment citizens rights citizens dont believe shit goes head',TIN
'looked work history board leading comes medicare local hel',UNT
'cause bitches playing loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face aint give noth',TIN
'coming kick dont bal',TIN
'getting scared ugli',TIN
'bitch',UNT
'&amp &amp &amp &amp poverty &amp climate change &amp &amp &amp bullying &amp body &amp police &amp &amp control &amp &amp protest',TIN
'bitch right getting',UNT
'hahaha going mak',TIN
'#maga #trump2020 #tcot #americafirst #patriots bill clinton make behavior clear piece piece',TIN
'#maga people growth means literally nothing higher white goes government jobs create labour pays less living lmao',TIN
'watch hold interview shit lmao nigga',TIN
'bitch beat w',TIN
'pathet',TIN
'must talking hateful conserv',TIN
'thats correct #maga',TIN
'leftist wrong liberal students come corrupt woman destroy good judge wants liberals court',TIN
'great mark great great together team sent liberals whole block liberal voters heads pants great team',TIN
'#stratadata #data #hairball tdavis touring application #cognitive #machinelearning techniques speed #governance #data',TIN
'wasnt scare tactics really meant said trump easily pull good maga republicans easily steal enough votes bring breath politics think',TIN
'liberal support liberal spent million liberals elected office',TIN
'vicious bitter access decent healthcare think criminals free pretty mind',TIN
'fuck game watch',UNT
'liberals',TIN
'kept kept coming back stupid finally gave dont think policies stupid pleas',TIN
'anything fucked head',TIN
'need know empty',TIN
'liberals mentally',TIN
'search home racist drug test murder victim',TIN
'heard making',TIN
'#thursdaythoughts fuck liberals',TIN
'proven control laws disarm abiding citizens criminal care law',TIN
'thinks give fuck',TIN
'fake vote wants',TIN
'different women american bomb',TIN
'russian disgrace creep going prison trump sold america time time years crimes',TIN
'ridiculous bullshit',UNT
'shouldnt surprised pigs worked antifa protestors local shit didnt cover',TIN
'americans lazy vote liberal many liberals vote throw vote away party losers next quest',TIN
'sure doesnt call private security bull though funny liberals love',TIN
'wonder many children',TIN
'england views control stopped',TIN
'antifa party &amp expect believe care anyone besides',TIN
'ouch',UNT
'wonder calling fired making',TIN
'awesome kavanaugh didnt control hand sorry killed future judges fault happened white people cities silli',TIN
'john pedo photo rather situation #maga #qanon #drainthedeepstate #draintheswamp',TIN
'love liber',TIN
'correct',TIN
'turned speech liberals becoming another nasty party personal attacks',TIN
'another negative democrat refuses',TIN
'elected please explain still promoting ideas already weve months nothing appears moving blind leading blind',TIN
'cant killed hope lady witch known witch',TIN
'election trump dick dick leftists prove russian puppet trump dick conservatives trump',TIN
'arent even enough create republicans liberals always liberals scum earth prove daily li',TIN
'want much literally tell obey',TIN
'dead well good must suck never mind cant even think move ahead alone twitter handle even face_with_rolling_eyes face_with_rolling_ey',TIN
'decide youre paid around youll',TIN
'trump sick mean',TIN
'voters know right side issue control rights answer help wins',TIN
'criminal #maga',TIN
'full',TIN
'hell much',TIN
'bal',UNT
'going hardcore bitch',TIN
'used heart played wife hel',TIN
'think didnt called trying make bully grinning_squinting_fac',TIN
'disgusting disgusting support breaking',TIN
'hopefully voters ended well midterm',TIN
'2018 fuck cardi ways catch',UNT
'think missed anti muslim know disagree control seem',TIN
'look racist white liberals freaking said white',TIN
'feed still boss',TIN
'really liberals everything',TIN
'never thought left actually want shut free speech unless least facist create facist',TIN
'lmao knows face_with_tears_of_joy thats trying hard expose shits cant never anyway',TIN
'bullshit',UNT
'feel pretty fucked started',UNT
'aw',TIN
'dont know anything although believe democrats fund always think dems main terror group days antifa',TIN
'absolutely useless everyone knows except media',TIN
'anyone care',TIN
'chance hell start taking losing whatever today #maga tired #winning november cant stop',TIN
'hopefully catch',TIN
'hell',UNT
'#conservatives doesnt mean great power comes great responsibility judicial youre democraci',UNT
'thank please give kick butt conserv',TIN
'call',TIN
'shes liber',TIN
'didnt fired',TIN
'students live shooter fear killed school already best send schools might control hypocrit',TIN
'poor liberals',TIN
'common sense follow',TIN
'several allegations somebody thing shit never ends',TIN
'even devil make every single rape children pope refuse didnt remove leadership rapist brought',TIN
'didnt tweet twitter shit',TIN
'screwed trump scotus exact upon enemies midterm',TIN
'haul harms druggi',TIN
'anyone write anything suppose tomorrow says prophet human race needs follow tell someone useless moron stop giving attention brother',TIN
'cool blind idiot already real thing religion thousands years peopl make fucking retard',UNT
'deliri',TIN
'dumb bitch mexico',TIN
'attacked antifa',TIN
'another dumbass democrat thing president lazy another bullshit story',TIN
'posts world moment',TIN
'democrats desperate threatening collins anything delay confirmation line desperate &amp quite aware go',TIN
'forward damn facts long keep narrative dangerous line line bunch liberal idiots conservatives justify actions liber',TIN
'poor baby entire network trusted people still watching brainwashed liberals',TIN
'clearly shit',TIN
'gonna',TIN
'book nothing clown tool',TIN
'many country must address sensible control enough vote blue garbage street',UNT
'appears must think',TIN
'mentally',TIN
'character clinton',TIN
'arent around understand denying porn',TIN
'senator liar girl tell truth',TIN
'thought antifa actually fascists shows actual fascists room',TIN
'left violent communists form antifa attack power years wonder guys doubt moral',TIN
'anyone surprised #maga #qanon',TIN
'duck duck',TIN
'good liberals allow rapist continue serving federal district court victim suffer said',TIN
'pretending something phony lies wont',TIN
'extremely fact dont sense stupid fault none means motives native american woman',TIN
'saying',TIN
'delusional liberals hate cant even',TIN
'better shit better anything red_heart',UNT
'damn able pussi',TIN
'exactly anyone half brain consider conservative literally poster child liber',TIN
'queen bitches',TIN
'worse lick',UNT
'liar going give judge credibility judge wont admit something didnt stupid ones liberals shame ignorance elected',TIN
'stupid problem conservatives dont hate studies smart people people show facts near turn somebody #cdnpoli',UNT
'bitch',TIN
'fucks deals kill cunt',TIN
'care murdered dont care home whole americans care said victim trying smear victim despic',TIN
'mouth saying respect cops dont dirt break home control means hand empty talk antifa',TIN
'russian received much money putin',TIN
'well liberal explains knows shooter liberal knows liberals hateful violent people must',TIN
'news giving time thats simply wrong experience useless fools cares ones fool',TIN
'gave beto well trump called wife ugly still help',TIN
'threat #maga',TIN
'liberals imagine forced defend family violence imagine beyond believe police quickly enough',TIN
'shit first rolling_on_the_floor_laugh',TIN
'bitch',TIN
'stfu bitch tryna twitter famous know',TIN
'100% correct corrupt president',TIN
'turn night super sexy fire fire fir',TIN
'despic',TIN
'without question professor ford thats half women world time dont hold years obviously political scotus confirmation #maga',TIN
'evil delusional high quality',TIN
'shut',TIN
'fuck',UNT
'total mental',TIN
'existence reading suck',TIN
'someone butt',TIN
'good surely show face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',TIN
'exactly true',TIN
'still waiting',UNT
'singing didnt tell stop singing hell talking enough talking keep talking wonder family think going nut',TIN
'think called talking sides fucking mouth lindsey longer trust',TIN
'sound ignorant words america stop help make nation best everyone liberals wake walk away',TIN
'suck',TIN
'face_with_tears_of_joy face_with_tears_of_joy know seen bitch thats lmao',TIN
'lefty pope true christian failed',TIN
'honestly ridiculous ne',TIN
'little known fact winning right lost control running local antifa whole thing',TIN
'true wouldnt even care laws issues typical call anything car',UNT
'night',TIN
'things never change &amp #maga fight back lies #confirmkavanaugh #kavanaugh #metoo',UNT
'bitch shut building self',TIN
'hand signal used ignorant people signal white supremacy evil people idea pissing liberals ignore ignorance dont deserve time',UNT
'#usa probably level yall #maga #mega #mbga #mcga #conservatives #patriots',TIN
'republicans going learn democrats hate conservatives vote',TIN
'isnt bitch antifa',TIN
'certainly throwing control &amp illegal involved seeing shit hearing',TIN
'proof hates exactly pres washington address hates constitution stands agenda maybe push socialism control',TIN
'beast',TIN
'committed many crimes care liar belong prison #maga',TIN
'people thought forever idiot',TIN
'fool',TIN
'course liberals truth accept thats dont believe believe ellison',TIN
'nose new',TIN
'thank conservatives letting blind sexual society make conservative',TIN
'stop',TIN
'thinks others liberals remember famous never serious crisis',TIN
'used liberals &amp racism &amp desperate',TIN
'apparently doesnt know bought went black ownership white rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laugh',TIN
'report reports missing reports government heck go',UNT
'abuse power cause losing mind',TIN
'gonna bitch',TIN
'#maga united_st',TIN
'ancient couldnt cock fighting literally illegal',TIN
'fucking',TIN
'isnt great liberals ignore pain victims democrats really sick',TIN
'cant losing literally whole',TIN
'noticed broke away soon senate started talking great growth rate crooked negative conservatives liberals #drainthedeepstate',TIN
'absolute dick pouting_fac',TIN
'well guess totally fine attack character mistake mean right american victim violence call control laws anyway',TIN
'liberals understanding around agree completely fucked believed women years lets believe women screw legal system pigs',TIN
'obama must democrat thought pleas',TIN
'wouldnt surprise call conservatives fascists justify physically attacking trumps nazi kill matter time',TIN
'idea nazis socialist complete inability reality mind antifa shit calling civil defend slavery considered fascist',TIN
'times worst',TIN
'life sucks face_with_tears_of_joy going along criminal friends line crossed lies tell never anything #maga #trump2020',TIN
'lets kavanaugh bringing make argument hypocrisy irrelevant saying lets investigate bank liberals robbed',TIN
'smiling_face_with_hearteyes cheerleader',TIN
'shit right showed friends quite',TIN
'higher unemployment witch antifa communist shit hollywood decide feel',TIN
'everything issue live another country iran',TIN
'admit anything read tweet please rather good antifa nazis name self still thugs fighting freedom free free hate',TIN
'holder held contempt congress isnt prison fast furious murd',TIN
'expose constitution violence &amp threats govt instead winning polls name domestic terrorists &amp jail',TIN
'grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat control stupid child going change peoples case stupid give firearms free speech rights government fuck',TIN
'republicans platform away healthcare environment away children away womens rights believe rule voter away social security limits control budget',TIN
'maybe talk double liberals conservatives somebody always victim',TIN
'#qanon #maga think nothing happen',TIN
'kavanaugh sexual abuse charges back days cant proven &amp #confirmkavanaugh #maga #trump2020',TIN
'obama administration personal folks actually treason attempted coup',UNT
'fuck',TIN
'buying pussy bitches trying lov',TIN
'thanks obama every crazy life support work trump means control',TIN
'suffer fools seen enough shit last l',TIN
'conservatives hypocrit',TIN
'suck',TIN
'well theyll replace saying everyone needs chicken',TIN
'believe woman person shit show experience werent true stand ford',TIN
'communist democrat socialists human',TIN
'piss population actually supported football shocked numbers took nose',TIN
'cause',TIN
'people getting shot kicked conservatives #maga #walkaway #confirmkavanaugh',TIN
'yeah control policy company beyond trumps hard almost enough snowflakes claim dislike hard tell part',TIN
'right thing conservatives power democrats humans sick tired democrats freaking lost election please reason',TIN
'leader proud allow come right youre insane #liberals',TIN
'need change acting spoiled child throwing showing world sore loser national isnt great anyone view',TIN
'important issue mental health mental health control great liar proven &amp away thats right',TIN
'quick killed thanks antifa',TIN
'idiot comment disgrace',TIN
'sucks',TIN
'sides promised wall anyone believe anything promised',TIN
'fair positive liberals',TIN
'disgusting hypocrit',TIN
'well allow still protest stop group really hitler early time nazi party group known beat politicians people didnt agree',TIN
'fucking love true actually jobs learn',UNT
'time gone wrong book first book liberals trump americans dont known worst',TIN
'saying control police family time limit access weapons police department wrong correct dont deserve access weapon',TIN
'dont stop shit',UNT
'want control americans dont stand cops black americans cops enemies americans thats want kill blacks america thank',TIN
'bitch complaining lobby lmaooo',TIN
'shit today made want early whos responsible word',TIN
'fuck bitch decided gone',TIN
'#liberals',TIN
'funny human rights abortion lies',TIN
'clearly racist anti citizen allow conservatives never seriously dont start fair',TIN
'damn victim little thing called much ones',UNT
'kavanaugh confirmed sexual sitting supreme court conservatives republicans democrats women scotus republicans perverted',TIN
'liberals shame mean',TIN
'coming worries failed shitty knows',TIN
'popular side doesnt winning side facts private schools much better students public schools public school teachers dont deserve private school teach',TIN
'fucking',TIN
'suppose think liberals attacked youre another hypocrit',TIN
'great american patriots dregs society delusional blow biden disgrace america',TIN
'joke another dirty tricks democrat george soros democrat party knows shame #maga',TIN
'actual report fuck',TIN
'shit anyway',TIN
'world country bullshit dont bullshit problems fuck fuck sensible control',TIN
'right lefties liberals trouble proper funny grinning_squinting_face grinning_squinting_face grinning_squinting_face highest funny past grinning_squinting_face grinning_squinting_face grinning_squinting_fac',TIN
'great control takes hand girl',TIN
'disgusting tells anything need order thats conservatives kavanaugh',UNT
'never guess free time weird jump foot',TIN
'back canada freak',TIN
'adult enough means',TIN
'doesnt team stay thats successful outside threat',TIN
'nike lost face bullshit',TIN
'google hel',TIN
'chicago democrats decades problems created begin absolutely control thats happening help anyway need start',UNT
'sadly worse good christian',TIN
'working texas paid soros cruz beto dangerous person another',TIN
'want kiss',TIN
'beto wants open borders illegals come please control',TIN
'absolutely point liberal party left nothing hate side trump create world peace society liberals still resist reason',TIN
'hope smarter',TIN
'100% agree trump surprised many liberals talk cute criminals',TIN
'calls trump supporters dregs society coup people leave country search jobs #maga',TIN
'destroying excuse beat time love',TIN
'lies spread liberals known hel',TIN
'shes shes pushing control',TIN
'grew listening kids shit heart',TIN
'delusional idiot traitor',TIN
'mother left goes antifa',TIN
'head bout shit',TIN
'complete utter waste time liber',TIN
'blame trump corruption decades typical democrat',TIN
'nigga added',TIN
'right bastards literally everywhere left antifa supporters counter bal',TIN
'terrible person probably raped people human book nothing field play dont person',TIN
'idiot fuck peopl',TIN
'start tweeting pussy shit',TIN
'weak really beat',TIN
'background kept cops enforcement attempting keep quite trouble maga',UNT
'bird',TIN
'name dogs fucking',TIN
'many taken place socialist media covering course coming make socialists heads maga swamp build wal',TIN
'least smart enough trump smart enough know cant hurt trump hurting trump idiot',TIN
'holy shit people please dead somewhere keep around watch',TIN
'poor liber',TIN
'tell body count refused woman fuck',TIN
'dumbass really thinking hell last loudly_crying_fac',TIN
'realize fool making weird maybe research',TIN
'liberals today different liberals liberals today gone left youre head think &amp libs trump authoritarian people want &amp kil',TIN
'inciting violence towards trump supporters antifa',TIN
'aint nobody bitter women know worth life somebody actually living becoming best look cute',TIN
'talking actual shooting means control',TIN
'protection wish phone call share escape',TIN
'need spread',TIN
'really think works going tell wife going hel',TIN
'still',TIN
'antifa democrats gonna november nail coffin trust funded',TIN
'good bitch hood missed face_with_tears_of_joy crazy thing saying smoke house used everyday',TIN
'california lots worthless control laws already control work crazy people dont obey',TIN
'bitch posted hope better soon',TIN
'shit even dont watching minute',UNT
'know never seen watch games takes shit level',TIN
'likely forgot mental everyday woman serve longer said trump remember part problems solution maga',TIN
'liberals trumps fault thinking_fac',TIN
'following sociopath moron',UNT
'democrat love great country watch liberal democratic party tries destroy everything love country #walkaway actually #maga #kag everyone united_st',TIN
'shameful million kavanaugh control isnt',TIN
'good democracy read democracy fail',TIN
'control need leftist liberal control guns dont kill people idiotic leftists #walkaway',TIN
'face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy yeah right theyre right counter unlike fascist antifa',UNT
'nose billy shit',TIN
'living fucking nightmare',TIN
'tells attention',TIN
'think countries following maga grinning_face people sick &amp',UNT
'bring great point morons really look life movies control debate time seriously think never hurt want teachers idiot',TIN
'idiot likely worst deal history foreign policy poster child someone',TIN
'people worst kind criminal playing emotions base hatred country insane playing constant mind games cause anger helping cause liberals catch',TIN
'come street army #antifa even wear cute black masks americans democrat party protect good',TIN
'okay violent liberal antifa hoods beating strangers know noth',TIN
'made wife bible kids obviously shit isnt',UNT
'liberals democrats something wrong',TIN
'liberals youre crimin',TIN
'cant believe american flag antifa flag',TIN
'lies keep hearing everyday tired putting dont beautiful problem beautiful seen place tell beautiful accept nothing less',UNT
'believe believe democrat idiotic things discredit conserv',TIN
'dont know dont really care rich dude probably hates president countri',TIN
'teach grown theres serena',TIN
'shooting common talking control',TIN
'please stop youre making easy mock left',TIN
'team even know',TIN
'using remov',TIN
'wall wont keep terrorists away obama control prevent killings criminals (and #walkaway',TIN
'republicans disgusting peopl',TIN
'antifa average americans news',TIN
'talking idiot liberals mental disorder book liberal mind political ideology liberals actually mental disorder read',TIN
'comments negative chris promoting vote michael love rapist &amp moore &amp latest kill dems movie town hall womens rights &amp control kavanaugh vote instead',TIN
'first time toward public votes people vote office years think',TIN
'fuck queen things conversation help comment swear',TIN
'liberals crap everyth',TIN
'attention anything interest meme jerk',TIN
'liberals playbook',TIN
'congress maga',TIN
'never nigga skull skul',TIN
'glad dont know anyone bunch',TIN
'left party playing communist crim',TIN
'trump fine people sides antifa nazis dont want dont nazis crazy nazis literally folks trying bomb shit soooo yeah youre right wing sorry thats',TIN
'antifa career kil',TIN
'thats saying read tweet never said putting words mouth liberals really assholes cant civil discuss',TIN
'experience problem think suffering bastard',TIN
'jerry needs away already good acting fool fool',TIN
'knew',TIN
'needs removed position children abused',TIN
'nope teaching give shit liberals think',TIN
'devils fully',TIN
'sexy smiling_face_with_hearteyes smiling_face_with_hearteyes winking_face winking_face',TIN
'claim speak people stand rights drinking',TIN
'shocked alleged pervert #gunsense #maga',TIN
'many women country stupidity liberals today',TIN
'think liked better conservatives rape claiming rape gets better tim',TIN
'dirt million',TIN
'control guns idiot',TIN
'fake national created conservatives bullshit',TIN
'need marijuana lobby youre screwed good america means nothing control',TIN
'part watching conservatives lose minds usual democrats mean',UNT
'open think sitting waiting pick called back said wrong need pick matt open need head',TIN
'democrats &amp antifa thugs done &amp',TIN
'dont think thats looks fuckin shit might looks',UNT
'chicago stop violence seems democrats claim stop show worst violence cities controlled democrats nations works make model successful control',TIN
'american liberals young power everyone racist rapist fascist keep everyone social dont teach keep government dont think dems keep black hispanics',TIN
'judge moore story #maga',TIN
'100%',TIN
'well people dregs society presidents supporters least didnt stage coup #maga',TIN
'majority thinking &amp never seen many sore losers throwing almost years embarrassing',TIN
'destroy hard working small evil pretty face',TIN
'said antifa black organ',TIN
'tell simply racist',TIN
'standing didnt even know none stories democrats &amp liberals destroy america #confirmkavanaughnow',TIN
'sure organization respect street enforcement protect serve citizens miss part',TIN
'already strict control laws county cant blame',TIN
'nobody kill beat cheap become popular follow popular india best luck hope videos together make next video popular',TIN
'trying shit gotta decent least',TIN
'proven li',TIN
'fund entire school teachers teach curriculum youth',TIN
'investigation antifa terrorist go',TIN
'agree dumb heart attack looks',TIN
'hillary social studies curriculum curriculum nothing shocked curriculum happy glad shes near',TIN
'educated crap cant read',TIN
'shut useless',TIN
'found theres control cant mass murder schools anyone done jok',TIN
'really going confirmed continue kill babies violence continue despite control',TIN
'guess money stole slush fund #thursdaythoughts #drainthedeepstate #maga',TIN
'youre another twitter asshole',TIN
'doesnt support stand ground teachers control believes rights zero',TIN
'liberals problem li',TIN
'bother',UNT
'another fucking nazi antifa names',TIN
'funny media people post porn twitter time',TIN
'pants antifa',TIN
'crook',UNT
'control fast furious allow allowed firearms sold criminal organ',TIN
'remember much making conservatives thinking people upset theyre needs teaching people',TIN
'hope dont florence heard going great tim',UNT
'dont know antifa pretty dumb',TIN
'youre fuck cant loudly_crying_face red_heart',TIN
'dont never pants forever throwing peoples',TIN
'#conservatives #republicans',TIN
'obama',TIN
'think supporters hide support trump life hands #maga never america remember political beliefs still civil &amp upset',TIN
'kiss complete disgrace senator',TIN
'uses place escape shes trouble makes jokes situation jail police threatening kill leave boring',TIN
'think afraid pigs',TIN
'girl lied every time mouth shows still left',TIN
'100% true stupid',UNT
'rates claim safe nations control mostly',TIN
'asshol',TIN
'even white',TIN
'better worse brat antifa bashing peoples head love look head',TIN
'flake perfect name',TIN
'stole girls cant',TIN
'every anti able attack future right',UNT
'much',UNT
'sure anyone platform',TIN
'bernie telling whole truth',UNT
'wasnt forward helping poor total hypocrite fraud stupid',TIN
'whats point clearly ignorant sexual assault',TIN
'comes mouth liar definitely catholic likes reform church',TIN
'well cool girl dont shit scared little shit',TIN
'tweets show demented liberals become zero',TIN
'bring followed gun',UNT
'lazy com',TIN
'',TIN
'shit move face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy keep weary_face weary_face weary_face weary_face red_heart',UNT
'dont even wear shit move away',TIN
'make antifa march started violence first plac',TIN
'tell blue knows zero experience shit mueller help actual',TIN
'false narrative sign white #resist #antifa',TIN
'best',TIN
'doesnt want jail lying senate crime committed &amp activist trying confirmation professor believe antifa member',TIN
'drunk person crime right leftists socialists antifa democrat',TIN
'dont care start info &amp leftist control',TIN
'fuck youre actually',TIN
'coward probably sabotage country silence shes former porn model',TIN
'shit aint',UNT
'must cash something whoever comes first',TIN
'million support youth activists working violence theyre michael help create business leaders support control',TIN
'crap',TIN
'disgusting liberals sham',TIN
'crazy making sure crazy liberal doesnt show',TIN
'maybe kavanaugh country hearing afraid going court going pissing',TIN
'yeah sucks honestly plan coming back rather nice start another game',TIN
'black',TIN
'heck',UNT
'fuck',TIN
'twitter banning conservatives anyone speaks dems liberals closer elect',TIN
'dont stupidity posting com',UNT
'evil',TIN
'except dont want want public hands public service think everyone country stupid',TIN
'shit keep fuck',TIN
'thats people chicago hell control works town',TIN
'good crook',TIN
'actually antifa makes want kick right',UNT
'liberals makes america sick',UNT
'well thats wins super media mouth piece',TIN
'antifa terrorist organ',TIN
'doesnt remember house playing exact date nothing false accusations motives defend #antifa terrorists noth',TIN
'daddy says dont start face_with_tears_of_joy face_with_tears_of_joy',TIN
'democrats care crap destroy conserv',TIN
'england liberals everywhere destroying lives muslims family muslims going back think accident read',TIN
'many today wearing pussy antiamerican antifa pathetic waste life slap',TIN
'shit weird',UNT
'disgusting people country lefties liberals upset forced wear imagine face_with_tears_of_joy worst mistake letting people',TIN
'liberals smart',TIN
'theyre hel',UNT
'high shitty rats',TIN
'special kind #antifa correct tomorrow proper shitting',TIN
'think angry_face best without doubt &amp trade deals &amp',TIN
'fuckass',TIN
'resign done nothing check part swamp hold values resign',TIN
'fake news liber',TIN
'traitor',TIN
'thats mention class even',TIN
'seeing liberals',TIN
'sucks miss',TIN
'democrats order shut listening keeps going little mind soros sister married',TIN
'line youre america back country look mirror whos year',TIN
'figures',TIN
'literally hour women stop complaining think true wrong well news means',TIN
'still maga telling boys folks &amp turns round fuck free face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',TIN
'control argument control threat shot goes accuse people open carry scared fear shot hypocritical',TIN
'eric holder prison',TIN
'says social housing good breath talks hypocrisy failed lying politician money real building failure li',TIN
'antifa',UNT
'violent #antifa werent democrat viol',TIN
'blame fact',TIN
'want murder charge stealing guns already shooting someone life prison best ends well whoever tries honestly think troll made stupid antifa members',TIN
'money kid',TIN
'neither seat',TIN
'original argument people shouldnt everyone together terrorists muslims altright conservatives dumb specific groups denounce means general cant',TIN
'racial left calls black conservatives #walkaway many dont blind tool establishment keep political',TIN
'want prove actually retard',TIN
'guys literally know shit',TIN
'weak face_with_tears_of_joy face_with_tears_of_joy shit must really pain',TIN
'blaming trump hurricane showing ignorance give maybe help',TIN
'hope anti american support',TIN
'shit dont follow stating basic facts totally actual point stating fact youre',TIN
'playing dirty using money',UNT
'please stick issues resign house leadership constitution many',TIN
'right though',TIN
'finally terrible takes racist',TIN
'close season round huge ground know thats coming dont mind funny shit',TIN
'stage farrakhan total hypocrite pathet',TIN
'dare tell antifa right fighting fighting stupid cause republican',TIN
'brought truth hate truth',TIN
'accusation enough live country innocent proven guilti',TIN
'point',TIN
'think liberals women complaining wonder ford want',TIN
'comments defending drug blatant abuse power completely liberals bias bias tell must rich area thanks guys good laugh face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',TIN
'lump agree 100%',TIN
'convenient paid liar',TIN
'kill potus handle violence',TIN
'shit',TIN
'usual supposed smart feminist thinks made sense alone told dealing another person considered maybe',TIN
'never lets fuck',TIN
'definitely drunk shit',TIN
'mean allegations sexual harassment assault difference know facts scare liberals concerned sexual need names slush funds seat',TIN
'create whole fake page talk shit face_with_rolling_eyes really',UNT
'course group countries country list control positive lower rates even within countri',TIN
'liberals worst women speak truth especially political activists evidence instead',TIN
'lmao still butt hurt loser lost love polls 2020',TIN
'holy actually real antifa really know stupid great shot hurt',TIN
'theresa isnt nic',TIN
'conservatives care democracy opinions called racist rights jeopardy anyone dont give shit',TIN
'holy fuck sorry someone trust',TIN
'everyone know time called violent liberals gone deep',TIN
'liber',TIN
'seen look face makes laugh somehow believe silli',TIN
'enemies whit',TIN
'democrats democrats dont stand women sexually assaulted democratic politicians youre hypocrite &amp need shut hel',TIN
'truly dumb shit',TIN
'williams side world something probably always never high believe',TIN
'opportunist wanted post liberals decided wasnt good enough crossed conservatives promised person beliefs credible trust',TIN
'open whole bottom line women color never happen better soon womens tennis',TIN
'fuck face_with_tears_of_joy',TIN
'whos sick racist',TIN
'cock suck',TIN
'liar bring case state love kavanaughs',TIN
'family consist husband never loved boys made clear never laws show paid laugh check',TIN
'years sexually assaulted supreme court nominee remain anonymous dont answer questions basically smear campaign democrat dont want conservatives majority',TIN
'understand black lives matter fight demand control wade course forces throw save used medicare everything worries fear',TIN
'policies worst',TIN
